       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.024845	0.047355	0.01004	0.0060267	0.010848	0.011127	0.011659	0.011253	0.011268	0.011264	0.011343	0.011312	0.011225	0.011113	0.011267	0.011259	0.011359	0.011349	0.061831	0.0099037	0.0086745	0.0095045	0.010577	0.010031	0.010699	0.011141	0.011103	0.010166	0.01024	0.010426	0.011372	0.011275	0.012746	0.011226	0.011332	0.011715	0.011345	0.011361	0.013505	0.011604	0.011302	0.011326	0.011257	0.011004	0.011322	0.011161	0.011342	0.011321	0.011245	0.011212	0.0089217	0.011327	0.011151	0.011548	0.011782	0.011126	0.011218	0.011186	0.010868	0.01094	0.009598	0.011174	0.010975	0.011063	0.010799	0.011076	0.0091774	0.0060624	0.011261	0.0090386	0.010867	0.010231	0.010594	0.011541	0.010975	0.0062843	0.011206	0.011324	0.011413	0.011351	0.011246	0.011188	0.011304                                                                    
ADRB2  	0.047355	0.12549	0.0070748	0.0042766	0.0080967	0.0085843	0.010333	0.0090202	0.009261	0.0090175	0.0091707	0.008913	0.0091006	0.0082182	0.0091276	0.0089064	0.0091828	0.009376	0.14138	0.0067657	0.0055812	0.0067639	0.0077519	0.0067692	0.0076124	0.0090218	0.0084509	0.0072892	0.0075544	0.0074584	0.0093813	0.0090681	0.012905	0.0088801	0.0093137	0.010329	0.0093856	0.0094706	0.016172	0.010186	0.0090264	0.009118	0.0092148	0.0080955	0.0093564	0.0086547	0.0093388	0.0091229	0.0090627	0.0091494	0.0061751	0.0091612	0.0087676	0.0099343	0.01056	0.009	0.0088701	0.0090149	0.0082978	0.0085504	0.0064756	0.0086887	0.0090989	0.0084638	0.0082011	0.0083862	0.0059989	0.0033497	0.0090502	0.005871	0.0082184	0.0075468	0.008068	0.0098163	0.0081586	0.0039831	0.0090957	0.0093054	0.0095931	0.0094341	0.0089131	0.0086788	0.0091443             
ALOX5  	0.01004	0.0070748	0.033746	0.0059692	0.010757	0.011694	0.012547	0.011925	0.013117	0.011823	0.011778	0.011525	0.011964	0.011238	0.011928	0.011823	0.011886	0.011874	0.0053202	0.0088552	0.009178	0.0097935	0.011403	0.010969	0.010749	0.012475	0.011573	0.031508	0.010974	0.010612	0.011768	0.011913	0.011719	0.011713	0.011886	0.011267	0.01183	0.011674	0.011633	0.011695	0.011326	0.011694	0.011779	0.01139	0.01315	0.012112	0.011741	0.011731	0.011748	0.011905	0.0087482	0.011948	0.011967	0.011805	0.011678	0.012187	0.011837	0.011926	0.011651	0.014457	0.037855	0.011677	0.011711	0.011712	0.010953	0.011407	0.0098862	0.0059856	0.011843	0.0099843	0.010679	0.011012	0.011311	0.011661	0.011266	0.0080296	0.011727	0.011722	0.012764	0.012006	0.011644	0.011463	0.011702                                                                    
AREG   	0.0060267	0.0042766	0.0059692	0.39674	0.0065126	0.0070344	0.00731	0.0073452	0.0089707	0.0073057	0.0067282	0.0066478	0.0086055	0.0061805	0.0071971	0.0071947	0.0070843	0.0087635	0.0028201	0.0050473	0.0041592	0.0051595	0.011045	0.0073425	0.0058286	0.0081268	0.0064903	0.0063877	0.0057842	0.007138	0.0076146	0.0074566	0.00691	0.0074003	0.0082734	0.0073022	0.0086908	0.0075061	0.0088054	0.0081228	0.0071646	0.0072703	0.0084917	0.0060668	0.007625	0.0070181	0.0074337	0.0070202	0.0073993	0.0075137	0.0051552	0.0071848	0.0072455	0.0076048	0.0073121	0.0072139	0.0068501	0.0076587	0.0075029	0.0091075	0.0062345	0.006934	0.036418	0.0070902	0.0072998	0.0069381	0.0044293	0.0023671	0.011633	0.0046117	0.0064803	0.0059636	0.0063493	0.008021	0.0061335	0.0028458	0.0074718	0.0073238	0.0087548	0.0097071	0.0073303	0.0073103	0.0072046    
ARG1   	0.010848	0.0080967	0.010757	0.0065126	0.017856	0.012533	0.012071	0.012453	0.01233	0.012372	0.012214	0.012371	0.01255	0.012182	0.012207	0.012356	0.012264	0.012445	0.0062794	0.02971	0.0091055	0.010315	0.011351	0.010594	0.011798	0.012158	0.011999	0.010651	0.010936	0.011139	0.012472	0.012509	0.012167	0.012544	0.012593	0.012752	0.012639	0.012525	0.012207	0.012781	0.013992	0.012497	0.012498	0.011715	0.012378	0.012381	0.012938	0.012433	0.012387	0.012155	0.0099664	0.012401	0.012152	0.012336	0.012542	0.012111	0.012151	0.012266	0.011726	0.011873	0.010183	0.012546	0.011916	0.014101	0.011623	0.012492	0.0095907	0.0062587	0.01226	0.0094819	0.017968	0.01099	0.011409	0.012536	0.012336	0.0066388	0.012202	0.012711	0.012391	0.012456	0.012452	0.012522	0.012396                                                                      
BCL6   	0.011127	0.0085843	0.011694	0.0070344	0.012533	0.014104	0.012372	0.012604	0.012496	0.012633	0.012517	0.012661	0.01248	0.012728	0.012476	0.012662	0.012602	0.012718	0.0067339	0.011455	0.0098161	0.010693	0.011812	0.011173	0.012631	0.012387	0.012617	0.011714	0.011477	0.011577	0.012714	0.012771	0.012492	0.012998	0.012647	0.012732	0.012655	0.012543	0.012391	0.012472	0.012728	0.012659	0.012612	0.01237	0.012573	0.012691	0.012732	0.012621	0.012612	0.012437	0.011796	0.012618	0.012588	0.012532	0.012536	0.012471	0.012578	0.012473	0.012139	0.012274	0.011196	0.012978	0.012156	0.012552	0.011907	0.01311	0.010515	0.0068292	0.012654	0.01018	0.012469	0.01147	0.011865	0.01289	0.013004	0.0086348	0.012628	0.012636	0.012729	0.012563	0.012825	0.012993	0.012653                                                                          
CCL11  	0.011659	0.010333	0.012547	0.00731	0.012071	0.012372	0.012368	0.01237	0.012337	0.012375	0.01239	0.012426	0.012313	0.012505	0.012358	0.012405	0.012398	0.012328	0.009362	0.011097	0.011626	0.0117	0.011914	0.011577	0.012385	0.012316	0.012429	0.012672	0.012197	0.011752	0.012347	0.012346	0.012341	0.012364	0.012329	0.012308	0.01231	0.012259	0.012201	0.012261	0.012311	0.01238	0.012305	0.013232	0.012352	0.012405	0.012318	0.012454	0.012342	0.012318	0.010758	0.012386	0.012339	0.012298	0.012297	0.012279	0.012396	0.0123	0.012106	0.012276	0.012552	0.012357	0.01195	0.012323	0.011945	0.012387	0.01209	0.0094659	0.012367	0.012094	0.012029	0.012187	0.012263	0.012389	0.012295	0.0081279	0.01228	0.012318	0.012337	0.012314	0.012371	0.012387	0.012362                                                                                    
CCL17  	0.011253	0.0090202	0.011925	0.0073452	0.012453	0.012604	0.01237	0.012621	0.012444	0.012673	0.012492	0.012629	0.012435	0.012787	0.012461	0.012598	0.012572	0.012498	0.0074155	0.011656	0.010575	0.011121	0.012019	0.011629	0.014074	0.012367	0.012538	0.01187	0.01179	0.011888	0.012537	0.012521	0.012436	0.01257	0.012499	0.012552	0.012482	0.012442	0.012271	0.012397	0.012558	0.012539	0.012446	0.012589	0.012466	0.012578	0.012499	0.012551	0.012479	0.012391	0.010919	0.012541	0.012473	0.01244	0.01243	0.012355	0.012505	0.012414	0.012223	0.012284	0.011639	0.012567	0.012074	0.012661	0.012087	0.01266	0.01112	0.0078907	0.012513	0.011021	0.012355	0.011787	0.012036	0.012574	0.012541	0.0082203	0.012496	0.012478	0.012459	0.012452	0.012572	0.012649	0.012636                                                                             
CCL2   	0.011268	0.009261	0.013117	0.0089707	0.01233	0.012496	0.012337	0.012444	0.012468	0.012451	0.012383	0.012492	0.012364	0.012587	0.012372	0.012476	0.012452	0.012417	0.0076907	0.011521	0.010481	0.01102	0.012174	0.011927	0.01254	0.012335	0.012451	0.013152	0.011703	0.012049	0.012438	0.012454	0.012336	0.012476	0.012422	0.012473	0.012413	0.012393	0.01223	0.012319	0.012459	0.01244	0.012374	0.01236	0.012454	0.012483	0.012413	0.012425	0.012392	0.012328	0.010981	0.012435	0.012423	0.012375	0.012359	0.01229	0.012417	0.012351	0.012274	0.012464	0.013668	0.012475	0.01218	0.012549	0.012176	0.012538	0.011019	0.0078053	0.012513	0.010947	0.012239	0.011707	0.011953	0.01253	0.012425	0.0080527	0.01237	0.012383	0.012455	0.012412	0.012472	0.01252	0.01243                                                                                  
CCL22  	0.011264	0.0090175	0.011823	0.0073057	0.012372	0.012633	0.012375	0.012673	0.012451	0.012754	0.012513	0.012679	0.012442	0.012895	0.012483	0.012638	0.012613	0.012515	0.0074147	0.011476	0.010491	0.01107	0.011957	0.011513	0.014749	0.012367	0.01254	0.011789	0.011763	0.011794	0.012561	0.012531	0.012464	0.012589	0.012512	0.012551	0.01249	0.012429	0.01228	0.012403	0.012543	0.012549	0.012454	0.012497	0.012469	0.012566	0.012506	0.01256	0.012491	0.012397	0.010929	0.012556	0.01248	0.012449	0.012436	0.012365	0.012518	0.012422	0.012192	0.012269	0.011531	0.012582	0.012073	0.012582	0.012025	0.012693	0.011076	0.0077409	0.012529	0.010909	0.012297	0.011753	0.012024	0.012589	0.01256	0.0082766	0.01254	0.012491	0.012468	0.012458	0.012593	0.012681	0.012702                                                                             
