       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.17178	0.00887	0.0041618	0.0015966	0.010804	0.013163	0.011945	0.011805	0.011888	0.012213	0.012213	0.013021	0.011464	0.013566	0.011742	0.014474	0.01133	0.0076987	0.0068797	0.0089576	0.0054704	0.0098002	0.011707	0.010071	0.0079531	0.010545	0.0095296	0.011519	0.012047	0.038316	0.010739	0.011863	0.010086	0.011788	0.011258	0.012178	0.012019	0.013996	0.013338	0.011358	0.0089344	0.011296	0.010227	0.011194	0.010925	0.012163	0.01157	0.010837	0.011948	0.0123	0.021557	0.012135	0.013061	0.011858	0.0097784	0.010406	0.0063925	0.010999	0.010407	0.0015966	0.014088	0.0089127	0.005825	0.0024331	0.010751	0.0042928	0.0098057	0.011072	0.010213	0.0099654	0.01163	0.01289	0.011309	0.011182	0.010187	0.0096529	0.01105                                                            
ALOX5  	0.00887	0.033757	0.0062182	0.001548	0.012321	0.01404	0.012673	0.012854	0.0126	0.012253	0.012253	0.013182	0.011518	0.012631	0.012549	0.012461	0.012664	0.010614	0.0082191	0.013915	0.011039	0.011652	0.01375	0.013049	0.044074	0.01244	0.0074289	0.012487	0.012318	0.012103	0.01207	0.012793	0.011468	0.012597	0.012313	0.012462	0.012577	0.011857	0.012275	0.012691	0.011473	0.014158	0.012892	0.01266	0.012591	0.012685	0.013331	0.01291	0.013752	0.012648	0.012306	0.013184	0.01283	0.013019	0.014038	0.020342	0.055189	0.012044	0.012284	0.001548	0.0088386	0.010702	0.0086442	0.003336	0.012465	0.0041033	0.012334	0.012694	0.012057	0.011345	0.013048	0.012273	0.012486	0.013452	0.011694	0.011464	0.012597                                                                          
AREG   	0.0041618	0.0062182	0.40379	0.00061255	0.0073371	0.0081173	0.0082209	0.010793	0.0079245	0.0072415	0.0072415	0.010137	0.0061777	0.0078577	0.0079989	0.007594	0.010237	0.0043465	0.0047821	0.014428	0.0078753	0.0062967	0.0093252	0.0067894	0.005138	0.0063688	0.0035839	0.0082811	0.0077597	0.0069887	0.0078735	0.0093604	0.007354	0.0099633	0.0079629	0.0083351	0.0094052	0.0072714	0.0075791	0.0098222	0.0061417	0.0084352	0.0070616	0.0080301	0.0072876	0.0081438	0.0084561	0.0077209	0.0077846	0.0082057	0.0075796	0.0078672	0.0074704	0.0083163	0.0083524	0.0082072	0.0044024	0.0072821	0.046059	0.00061255	0.0044712	0.0069632	0.0030525	0.0015937	0.014228	0.0020671	0.0059576	0.0072553	0.0087494	0.0057055	0.0081077	0.0078236	0.0080659	0.011994	0.0072539	0.0069859	0.0077566   
ARG1   	0.0015966	0.001548	0.00061255	0.33023	0.0034064	0.002592	0.0027856	0.0024169	0.0022676	0.0032562	0.0032562	0.0024121	0.001734	0.0027912	0.0024009	0.0024107	0.0028175	0.0010152	0.0012421	0.0015064	0.00070174	0.0016608	0.0025229	0.0015906	0.0011588	0.0017555	0.00098178	0.0028569	0.0030492	0.0030373	0.0029901	0.0027867	0.0021613	0.0028149	0.0031288	0.0030411	0.002807	0.0036207	0.0033917	0.0027015	0.0015419	0.0028141	0.0020515	0.0025584	0.0020819	0.0028141	0.0022793	0.0021503	0.0020889	0.0026146	0.002852	0.0025799	0.0022227	0.0026746	0.0016508	0.0018987	0.00086877	0.0034569	0.0020671	0.28044	0.0013567	0.0018739	0.00084917	0.00033764	0.0019749	0.21717	0.0015657	0.0019695	0.0021433	0.0017856	0.002286	0.010266	0.0030708	0.0022795	0.0021622	0.0019503	0.0021948
BCL6   	0.010804	0.012321	0.0073371	0.0034064	0.017706	0.013759	0.014115	0.014097	0.014121	0.014106	0.014106	0.013971	0.013866	0.013964	0.014115	0.014033	0.014443	0.010786	0.0095016	0.012416	0.0092295	0.014142	0.013886	0.014158	0.011065	0.012894	0.0090965	0.01435	0.014257	0.013525	0.014517	0.014164	0.014231	0.014164	0.014429	0.014248	0.013967	0.014105	0.01416	0.014201	0.013486	0.014124	0.014238	0.01457	0.01408	0.014175	0.01402	0.014167	0.013992	0.013891	0.013745	0.013974	0.014147	0.013836	0.013025	0.01323	0.010037	0.014793	0.013446	0.0034064	0.010664	0.013775	0.0096989	0.0040495	0.014264	0.0065464	0.012477	0.013421	0.014898	0.013499	0.014287	0.014073	0.014682	0.014041	0.014647	0.014625	0.014209                                                                   
CCL11  	0.013163	0.01404	0.0081173	0.002592	0.013759	0.014029	0.013894	0.013834	0.013953	0.013993	0.013993	0.013854	0.014332	0.013993	0.013972	0.01406	0.013715	0.0164	0.010011	0.012606	0.0098684	0.014026	0.013855	0.013673	0.014498	0.015029	0.010032	0.013763	0.013653	0.013896	0.013611	0.013722	0.013463	0.013666	0.013709	0.013718	0.013653	0.013681	0.013712	0.013755	0.013662	0.013777	0.01376	0.013767	0.013824	0.013768	0.013791	0.013829	0.01369	0.013608	0.013579	0.013766	0.013872	0.013568	0.013022	0.013724	0.013877	0.01368	0.013212	0.002592	0.011331	0.01286	0.009186	0.0050369	0.013903	0.0054978	0.015463	0.014444	0.013896	0.013097	0.013768	0.013493	0.013734	0.01375	0.01358	0.013488	0.013811                                                                            
CCL17  	0.011945	0.012673	0.0082209	0.0027856	0.014115	0.013894	0.014347	0.014052	0.014496	0.014331	0.014331	0.013989	0.015044	0.014151	0.014312	0.014386	0.013985	0.012424	0.010053	0.012572	0.0096936	0.016713	0.013836	0.013831	0.011918	0.0136	0.01006	0.014054	0.013902	0.013846	0.013977	0.013945	0.013831	0.013896	0.013985	0.013951	0.013862	0.013955	0.013947	0.013963	0.013436	0.013891	0.013987	0.01402	0.013984	0.013941	0.013907	0.014062	0.013795	0.013799	0.013674	0.013833	0.014042	0.01372	0.013035	0.013311	0.010942	0.01402	0.013385	0.0027856	0.011322	0.013341	0.0092898	0.0048853	0.01406	0.0057568	0.013362	0.013731	0.014139	0.01335	0.014095	0.01372	0.014005	0.013897	0.014091	0.014189	0.014323                                                                        
CCL2   	0.011805	0.012854	0.010793	0.0024169	0.014097	0.013834	0.014052	0.014016	0.014125	0.01418	0.01418	0.013934	0.014594	0.014019	0.014155	0.01418	0.013971	0.012343	0.0101	0.01289	0.010327	0.014397	0.013821	0.013893	0.012162	0.013518	0.010124	0.014036	0.013933	0.013723	0.01401	0.013956	0.014228	0.013939	0.014058	0.013996	0.013834	0.013953	0.013949	0.01398	0.01355	0.013907	0.014111	0.014015	0.013933	0.013925	0.013884	0.014032	0.013811	0.013775	0.01366	0.013794	0.013992	0.013709	0.013187	0.013395	0.011304	0.014068	0.013688	0.0024169	0.011387	0.0137	0.0092289	0.0049517	0.014258	0.0054231	0.01329	0.013687	0.014375	0.013415	0.013964	0.013683	0.014033	0.013938	0.014069	0.014035	0.014029                                                                              
CCL22  	0.011888	0.0126	0.0079245	0.0022676	0.014121	0.013953	0.014496	0.014125	0.014683	0.014451	0.014451	0.014057	0.015407	0.014252	0.014443	0.01454	0.014021	0.012309	0.0097359	0.012491	0.009441	0.01753	0.013869	0.013742	0.011815	0.01361	0.010017	0.01411	0.013929	0.013926	0.013995	0.013988	0.013827	0.013929	0.01402	0.013987	0.0139	0.013914	0.013956	0.01401	0.013444	0.013923	0.013983	0.014063	0.014036	0.013973	0.013944	0.014107	0.0138	0.01384	0.013693	0.013883	0.014088	0.013743	0.012994	0.013301	0.01076	0.014033	0.013392	0.0022676	0.011263	0.013287	0.0093494	0.0044001	0.01413	0.0052915	0.013335	0.013751	0.014202	0.013361	0.014179	0.013747	0.014042	0.013934	0.014087	0.014187	0.014454                                                                              
CCL24  	0.012213	0.012253	0.0072415	0.0032562	0.014106	0.013993	0.014331	0.01418	0.014451	0.01596	0.015048	0.014123	0.016444	0.014546	0.014825	0.015052	0.013975	0.011871	0.010186	0.012234	0.00889	0.014229	0.013821	0.013304	0.01123	0.01357	0.010272	0.014133	0.014013	0.014293	0.013902	0.013992	0.013644	0.013916	0.014039	0.014026	0.014019	0.014206	0.01409	0.014002	0.013292	0.013928	0.013966	0.014023	0.013973	0.013971	0.013898	0.014053	0.013677	0.013892	0.013768	0.013945	0.014124	0.013746	0.012754	0.01312	0.010026	0.014082	0.013303	0.0032562	0.011463	0.012837	0.0097087	0.0049388	0.013989	0.0063327	0.013147	0.013707	0.014032	0.013613	0.01399	0.013927	0.014051	0.013938	0.01386	0.013717	0.014071                                                                         
