       	ADAM33 	ALOX5  	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.39805	0.0059584	0.0015105	0.0074544	0.010338	0.0090055	0.0091392	0.0084402	0.006836	0.0079787	0.0085945	0.0067733	0.0082897	0.007723	0.0075643	0.0091324	0.0014867	0.0041216	0.0056369	0.0062101	0.009303	0.0063692	0.0039322	0.0014867	0.0038302	0.0093751	0.0090785	0.0072864	0.008434	0.010525	0.0083541	0.010865	0.0096236	0.012001	0.011217	0.018259	0.018259	0.0092861	0.0067299	0.0091077	0.0077	0.0092667	0.0085521	0.011904	0.009663	0.00853	0.014027	0.010647	0.039401	0.0097201	0.0082421	0.011052	0.0093432	0.0078998	0.0042458	0.0067908	0.0085959	0.0012606	0.0062737	0.0013778	0.0083852	0.0044445	0.0014867	0.0041452	0.0076838	0.0074419	0.010398	0.01181	0.0094783	0.0088588	0.0064843	0.0023191	0.0090082                          
ALOX5  	0.0059584	0.047216	0.0017946	0.012365	0.012283	0.012466	0.013067	0.01237	0.011197	0.011711	0.012751	0.011004	0.012246	0.011666	0.011576	0.013834	0.0029571	0.0053772	0.037256	0.010065	0.015984	0.013216	0.068208	0.0029571	0.0053424	0.012837	0.012665	0.011466	0.012375	0.013224	0.010565	0.013167	0.012309	0.0126	0.013034	0.011557	0.011557	0.013285	0.011955	0.016281	0.014079	0.013341	0.012948	0.013346	0.014797	0.013764	0.014124	0.013154	0.012475	0.014158	0.014823	0.01556	0.016502	0.026936	0.059024	0.010434	0.013301	0.0019424	0.0097168	0.0019889	0.01226	0.0049876	0.0029571	0.0064449	0.011982	0.011889	0.013977	0.012482	0.013034	0.015164	0.0081837	0.003161	0.013314                                                                
ARG1   	0.0015105	0.0017946	0.51624	0.0018594	0.0037245	0.0040369	0.0032046	0.0029172	0.0023379	0.0044699	0.0029174	0.0019658	0.0028594	0.0028267	0.0026509	0.0028708	0.00033048	0.0011106	0.0013519	0.0012955	0.0028209	0.0013176	0.00089115	0.00033048	0.0010263	0.0041249	0.0043758	0.0022627	0.0029439	0.0038582	0.0029513	0.0040343	0.0049811	0.0046445	0.0040215	0.0061374	0.0061374	0.0038178	0.0020238	0.0040952	0.002847	0.0030433	0.0026052	0.0029586	0.0027364	0.0028919	0.002591	0.0037613	0.0044445	0.0033978	0.0021873	0.0036784	0.002157	0.002167	0.00096084	0.0022555	0.0027298	0.00026274	0.0018646	0.00028677	0.0025564	0.27927	0.00033048	0.0012119	0.0027261	0.0024759	0.0027559	0.017888	0.0044029	0.0029147	0.0014438	0.00036709	0.0027622
BCL6   	0.0074544	0.012365	0.0018594	0.071592	0.014227	0.014571	0.014686	0.0147	0.013643	0.013811	0.014617	0.014208	0.014372	0.014011	0.013814	0.015236	0.0035687	0.0059335	0.01109	0.017771	0.015566	0.017066	0.0096446	0.0035687	0.0058453	0.015732	0.014661	0.013839	0.015355	0.015206	0.012515	0.015054	0.014527	0.014723	0.014643	0.013185	0.013185	0.015354	0.014018	0.014749	0.014524	0.020271	0.014396	0.015671	0.015949	0.014568	0.015423	0.014521	0.014476	0.016293	0.015519	0.015429	0.015899	0.014279	0.0099544	0.012582	0.014752	0.0020706	0.011974	0.0021126	0.015747	0.0054783	0.0035687	0.0076819	0.017006	0.01385	0.01912	0.014186	0.015852	0.014827	0.0097416	0.003874	0.016438                                                               
CCL11  	0.010338	0.012283	0.0037245	0.014227	0.01574	0.015928	0.015708	0.016191	0.017712	0.016791	0.016063	0.017786	0.016466	0.016899	0.017129	0.015248	0.011588	0.0078495	0.011223	0.012576	0.014768	0.01232	0.0096777	0.011588	0.0074255	0.01527	0.014886	0.017457	0.014717	0.015206	0.014473	0.014981	0.015057	0.015096	0.014886	0.014957	0.014957	0.015223	0.015812	0.014962	0.015179	0.014976	0.015738	0.014649	0.014925	0.015328	0.014808	0.014696	0.014699	0.01518	0.014825	0.014743	0.014475	0.013462	0.010077	0.013416	0.01561	0.0033653	0.012753	0.0036843	0.015689	0.0078756	0.011588	0.01342	0.015492	0.014347	0.014761	0.014868	0.01508	0.015046	0.010325	0.0047765	0.014953                                                                       
CCL17  	0.0090055	0.012466	0.0040369	0.014571	0.015928	0.016523	0.016213	0.016847	0.018718	0.017658	0.016631	0.018827	0.017157	0.017736	0.017977	0.015709	0.0049839	0.0081953	0.011039	0.014379	0.015156	0.012647	0.0096966	0.0049839	0.0077703	0.015688	0.015252	0.018258	0.015115	0.015627	0.015008	0.015386	0.015493	0.015503	0.015226	0.015304	0.015304	0.0155	0.014714	0.015303	0.015351	0.015336	0.015391	0.015039	0.015344	0.015414	0.015189	0.015081	0.01495	0.015434	0.015127	0.015029	0.014881	0.013706	0.010007	0.013819	0.015965	0.0035804	0.013143	0.0039177	0.015696	0.008346	0.0049839	0.009003	0.015485	0.014756	0.015231	0.015272	0.015443	0.015421	0.010635	0.0049167	0.015569                                                                
CCL2   	0.0091392	0.013067	0.0032046	0.014686	0.015708	0.016213	0.01608	0.016468	0.017616	0.016919	0.016368	0.017668	0.016636	0.017047	0.017181	0.015804	0.0046749	0.0081799	0.011511	0.013003	0.015302	0.013415	0.010552	0.0046749	0.0077087	0.015773	0.015447	0.017339	0.015437	0.015688	0.015765	0.01553	0.015738	0.015654	0.015273	0.015235	0.015235	0.01564	0.015032	0.015475	0.015763	0.015466	0.015494	0.015148	0.015408	0.015649	0.015338	0.015133	0.014989	0.015425	0.015338	0.015116	0.015093	0.01401	0.010762	0.01449	0.016122	0.003504	0.014118	0.0038808	0.015949	0.0075074	0.0046749	0.0087084	0.01589	0.014877	0.015231	0.015235	0.015612	0.015663	0.010842	0.0050971	0.015382                                                                   
CCL22  	0.0084402	0.01237	0.0029172	0.0147	0.016191	0.016847	0.016468	0.017268	0.019546	0.0182	0.016989	0.019714	0.017633	0.018347	0.018639	0.015857	0.0051106	0.0072094	0.0108	0.014688	0.015237	0.012666	0.0094523	0.0051106	0.007025	0.015835	0.015253	0.018997	0.015184	0.015756	0.015022	0.015467	0.015555	0.015572	0.015222	0.014829	0.014829	0.015594	0.014659	0.015355	0.015295	0.015433	0.015387	0.015078	0.015431	0.015377	0.015172	0.015093	0.014881	0.01557	0.015145	0.015075	0.014854	0.013671	0.0097541	0.013676	0.016137	0.0028456	0.01305	0.0029544	0.01586	0.0071918	0.0051106	0.0091891	0.015667	0.014523	0.015367	0.015255	0.015527	0.015506	0.01025	0.0043756	0.015745                                                                      
CCL24  	0.006836	0.011197	0.0023379	0.013643	0.017712	0.018718	0.017616	0.019546	0.028707	0.023791	0.019073	0.02911	0.021616	0.023319	0.02455	0.01566	0.0044621	0.0058051	0.0090722	0.011443	0.014743	0.011021	0.0078354	0.0044621	0.0061994	0.01563	0.01449	0.026412	0.014182	0.015695	0.012652	0.015013	0.014571	0.014984	0.014822	0.01359	0.01359	0.015138	0.013505	0.014837	0.014104	0.014722	0.014778	0.014479	0.015097	0.014469	0.014299	0.014866	0.01432	0.015953	0.014071	0.014565	0.01376	0.012682	0.0080659	0.011693	0.01575	0.0022657	0.010712	0.0019738	0.014982	0.0064056	0.0044621	0.0090989	0.013981	0.013521	0.0151	0.015183	0.01482	0.014574	0.008941	0.0033184	0.015399                                                                       
CCL26  	0.0079787	0.011711	0.0044699	0.013811	0.016791	0.017658	0.016919	0.0182	0.023791	0.021731	0.017805	0.023429	0.019414	0.020696	0.021311	0.015639	0.0043318	0.0064432	0.0098584	0.011546	0.014855	0.011209	0.0085913	0.0043318	0.007803	0.015664	0.014972	0.02193	0.014648	0.015651	0.013759	0.015204	0.015087	0.015284	0.015025	0.014882	0.014882	0.015288	0.013899	0.015076	0.014739	0.014967	0.014959	0.014756	0.015149	0.014929	0.014733	0.015081	0.014717	0.015684	0.014423	0.014739	0.014216	0.013073	0.0088499	0.012933	0.015721	0.0036307	0.011959	0.0024012	0.015159	0.0089022	0.0043318	0.0087578	0.014597	0.014541	0.014946	0.015453	0.015141	0.014897	0.010171	0.0045752	0.015289                                                             
