       	ALOX5  	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ALOX5  	0.39611	0.0078287	0.0094897	0.0082165	0.011082	0.0082458	0.0065951	0.0071583	0.010791	0.0065951	0.0089332	0.0075774	0.0076561	0.0098516	0.012814	0.0033094	0.038352	0.028234	0	0	0.0038402	0.0092331	0.0089632	0.0067582	0.0077458	0.010892	0.0062095	0.011382	0.0083493	0.0089946	0.011106	0.0083986	0.0083986	0.0087893	0.0055772	0.0086519	0.0067498	0.0097986	0.0084403	0.013134	0.015023	0.0073358	0.018674	0.010938	0.010317	0.012173	0.019624	0.014637	0.018201	0.018201	0	0.0051764	0.0073634	0.0012424	0.0034261	0.0057626	0.003287	0	0	0.0064705	0.0034062	0.014101	0.0088049	0.009026	0.0084874	0.0068358	0.0024106	0.0088207            
BCL6   	0.0078287	0.18125	0.011677	0.010671	0.012028	0.011335	0.0080519	0.0098363	0.010943	0.0080519	0.01084	0.0088608	0.0091194	0.013625	0.017058	0.0085067	0.016071	0.0078287	0	0	0.0054521	0.019833	0.014535	0.0075738	0.017892	0.016543	0.010682	0.015454	0.014879	0.014184	0.013942	0.013025	0.013025	0.015951	0.0089769	0.014495	0.0086158	0.036699	0.010674	0.017611	0.014133	0.009618	0.013047	0.014761	0.017385	0.014968	0.013472	0.016063	0.022768	0.022768	0	0.011372	0.011126	0.0017964	0.0099829	0.0099044	0.0059099	0	0	0.013998	0.0062681	0.041179	0.01393	0.019039	0.013114	0.0097571	0.0035471	0.016467                                    
CCL11  	0.0094897	0.011677	0.020477	0.02203	0.01982	0.02202	0.025558	0.021312	0.021265	0.025558	0.021654	0.024314	0.023748	0.017552	0.0089221	0.011078	0.015774	0.0094897	0	0	0.0083996	0.016421	0.015722	0.025956	0.014609	0.017023	0.014023	0.016606	0.016485	0.016649	0.016841	0.01669	0.01669	0.01626	0.013555	0.016283	0.014301	0.015698	0.015237	0.015929	0.017259	0.014738	0.016491	0.016359	0.0165	0.016769	0.017024	0.017003	0.012988	0.012988	0	0.011282	0.017293	0.0038869	0.0087966	0.014565	0.012103	0	0	0.015349	0.008959	0.01499	0.017107	0.016038	0.016591	0.01119	0.0051121	0.0175                                                         
CCL17  	0.0082165	0.010671	0.02203	0.024893	0.021168	0.024869	0.030639	0.02317	0.023469	0.030639	0.024059	0.028421	0.027455	0.017309	0.0082197	0.01672	0.015147	0.0082165	0	0	0.0079618	0.016001	0.014992	0.031216	0.013851	0.016781	0.013137	0.016033	0.015757	0.016157	0.016194	0.015603	0.015603	0.015457	0.010556	0.015294	0.011	0.014828	0.012659	0.015136	0.01656	0.011981	0.015167	0.016105	0.015702	0.015985	0.014926	0.01591	0.012292	0.012292	0	0.010474	0.017355	0.003601	0.0079463	0.014002	0.011377	0	0	0.014615	0.007736	0.014527	0.01685	0.015338	0.015754	0.010316	0.0045007	0.019159                                                       
CCL2   	0.011082	0.012028	0.01982	0.021168	0.019598	0.021229	0.024082	0.020316	0.02083	0.024082	0.020841	0.023127	0.022615	0.017825	0.009748	0.010305	0.015876	0.011082	0	0	0.0082161	0.016854	0.015888	0.024465	0.01516	0.017275	0.016604	0.016903	0.017028	0.017213	0.016734	0.01642	0.01642	0.016811	0.012648	0.016659	0.012448	0.015918	0.014017	0.016008	0.016977	0.013464	0.016167	0.016402	0.016469	0.016404	0.016078	0.016467	0.013465	0.013465	0	0.011858	0.019184	0.0037164	0.0096068	0.017712	0.010405	0	0	0.017561	0.0091254	0.015277	0.016998	0.016579	0.017904	0.011233	0.0051337	0.017008                                                    
CCL22  	0.0082458	0.011335	0.02202	0.024869	0.021229	0.024901	0.030603	0.022815	0.023546	0.030603	0.024037	0.028412	0.027404	0.017657	0.0079062	0.016547	0.015178	0.0082458	0	0	0.0071046	0.016218	0.015122	0.031187	0.014211	0.016937	0.013872	0.016185	0.015865	0.016329	0.016207	0.015226	0.015226	0.015631	0.010597	0.015434	0.010912	0.015068	0.012627	0.015209	0.016613	0.011937	0.01507	0.016071	0.01564	0.016011	0.014932	0.015939	0.01219	0.01219	0	0.010725	0.01766	0.0027712	0.0084539	0.014233	0.009508	0	0	0.01506	0.0080105	0.014671	0.016739	0.015535	0.016048	0.010051	0.0040696	0.01915                                                    
CCL24  	0.0065951	0.0080519	0.025558	0.030639	0.024082	0.030603	0.041754	0.026821	0.028222	0.041419	0.029353	0.037208	0.035361	0.017108	0.0057035	0.011108	0.014412	0.0065951	0	0	0.006183	0.0151	0.013715	0.042915	0.012274	0.01646	0.011115	0.015073	0.014185	0.015189	0.015327	0.013439	0.013439	0.014126	0.0080887	0.013433	0.0087523	0.013342	0.010662	0.013855	0.01606	0.0098356	0.01361	0.015589	0.014182	0.015278	0.013314	0.015078	0.010198	0.010198	0	0.0084143	0.017103	0.0021734	0.0058305	0.011855	0.007974	0	0	0.012591	0.0056648	0.01285	0.016327	0.013863	0.014158	0.0084047	0.0029105	0.019274                                             
CCL26  	0.0071583	0.0098363	0.021312	0.02317	0.020316	0.022815	0.026821	0.04393	0.021756	0.026821	0.024447	0.025143	0.027536	0.016183	0.0082398	0.0082304	0.014857	0.0071583	0	0	0.0097074	0.015981	0.015573	0.027161	0.013753	0.016732	0.01275	0.016129	0.016838	0.016605	0.016362	0.017588	0.017588	0.015611	0.010061	0.015804	0.010328	0.01487	0.012184	0.015419	0.016517	0.011478	0.015412	0.017179	0.016571	0.015979	0.014369	0.015713	0.012367	0.012367	0	0.011232	0.015976	0.004687	0.0081176	0.01355	0.016099	0	0	0.014041	0.008218	0.014108	0.018949	0.015731	0.015097	0.011435	0.0052927	0.016738                                                 
CCL5   	0.010791	0.010943	0.021265	0.023469	0.02083	0.023546	0.028222	0.021756	0.023001	0.028222	0.022967	0.026617	0.025757	0.019168	0.0086328	0.010002	0.015715	0.010791	0	0	0.0070593	0.016569	0.015291	0.029111	0.015026	0.017172	0.014238	0.016656	0.016168	0.01658	0.016313	0.015199	0.015199	0.016239	0.010955	0.015648	0.01098	0.015386	0.012796	0.015528	0.017049	0.012071	0.015716	0.016166	0.01576	0.016103	0.01569	0.016183	0.012623	0.012623	0	0.011375	0.019458	0.0027209	0.009287	0.017246	0.0091707	0	0	0.016948	0.0076933	0.014657	0.016708	0.01598	0.017357	0.010144	0.0040661	0.0174                                                      
CCL8   	0.0065951	0.0080519	0.025558	0.030639	0.024082	0.030603	0.041419	0.026821	0.028222	0.041754	0.029353	0.037208	0.035361	0.017108	0.0057035	0.011108	0.014412	0.0065951	0	0	0.006183	0.0151	0.013715	0.042915	0.012274	0.01646	0.011115	0.015073	0.014185	0.015189	0.015327	0.013439	0.013439	0.014126	0.0080887	0.013433	0.0087523	0.013342	0.010662	0.013855	0.01606	0.0098356	0.01361	0.015589	0.014182	0.015278	0.013314	0.015078	0.010198	0.010198	0	0.0084143	0.017103	0.0021734	0.0058305	0.011855	0.007974	0	0	0.012591	0.0056648	0.01285	0.016327	0.013863	0.014158	0.0084047	0.0029105	0.019274                                             
CCR3   	0.0089332	0.01084	0.021654	0.024059	0.020841	0.024037	0.029353	0.024447	0.022967	0.029353	0.023671	0.027332	0.026733	0.017686	0.0083808	0.010642	0.015482	0.0089332	0	0	0.0080526	0.016111	0.015207	0.030107	0.01422	0.016919	0.013808	0.016243	0.015957	0.016345	0.016349	0.015662	0.015662	0.015679	0.011463	0.015589	0.012189	0.015129	0.013497	0.015466	0.017025	0.012868	0.016085	0.016256	0.015857	0.016296	0.016031	0.016384	0.012458	0.012458	0	0.010938	0.017215	0.0036281	0.0084932	0.013996	0.009969	0	0	0.014691	0.0080423	0.014484	0.016921	0.015536	0.015933	0.0108	0.0048927	0.017745                                                
CCR4   	0.0075774	0.0088608	0.024314	0.028421	0.023127	0.028412	0.037208	0.025143	0.026617	0.037208	0.027332	0.033948	0.032334	0.01759	0.006465	0.010996	0.01481	0.0075774	0	0	0.0065358	0.015565	0.014266	0.038481	0.01302	0.016711	0.012123	0.015596	0.014885	0.015701	0.015727	0.014167	0.014167	0.014822	0.0091074	0.014197	0.0096118	0.013995	0.011493	0.014412	0.016379	0.010695	0.014246	0.015802	0.014773	0.015606	0.014088	0.015519	0.01091	0.01091	0	0.0091331	0.017796	0.0023952	0.0065895	0.013241	0.0085918	0	0	0.013803	0.0063153	0.01343	0.016528	0.014546	0.015166	0.0089544	0.0032492	0.018813                                             
CCR8   	0.0076561	0.0091194	0.023748	0.027455	0.022615	0.027404	0.035361	0.027536	0.025757	0.035361	0.026733	0.032334	0.031353	0.017464	0.0067778	0.01074	0.014881	0.0076561	0	0	0.0069557	0.015664	0.014497	0.03649	0.013203	0.016739	0.012335	0.01572	0.015204	0.015864	0.015856	0.014662	0.014662	0.014992	0.0093989	0.014498	0.0099079	0.014198	0.011741	0.014624	0.016474	0.010963	0.01456	0.016009	0.01507	0.015719	0.014318	0.015629	0.011191	0.011191	0	0.0094914	0.017548	0.0026775	0.0068785	0.013351	0.0093704	0	0	0.013913	0.0066243	0.013595	0.016848	0.014771	0.015237	0.0093555	0.0035479	0.018507                                           
CD40LG 	0.0098516	0.013625	0.017552	0.017309	0.017825	0.017657	0.017108	0.016183	0.019168	0.017108	0.017686	0.01759	0.017464	0.030146	0.0081701	0.0068661	0.016427	0.0098516	0	0	0.0068401	0.018454	0.017131	0.017491	0.023343	0.018685	0.017137	0.019249	0.017864	0.01792	0.017061	0.016111	0.016111	0.017478	0.011961	0.017732	0.011873	0.018225	0.013823	0.017664	0.019477	0.013016	0.018029	0.016559	0.017234	0.016963	0.018322	0.017348	0.012968	0.012968	0	0.022507	0.017244	0.0024342	0.024299	0.014232	0.0091737	0	0	0.016625	0.0097849	0.015866	0.016995	0.018253	0.018594	0.011518	0.0047058	0.015145                                             
CMA1   	0.012814	0.017058	0.0089221	0.0082197	0.009748	0.0079062	0.0057035	0.0082398	0.0086328	0.0057035	0.0083808	0.006465	0.0067778	0.0081701	0.23616	0.0049139	0.023588	0.012814	0	0	0.0065605	0.011323	0.0097234	0.0054604	0.0082361	0.01108	0.0058832	0.010533	0.0098715	0.0096486	0.010559	0.010184	0.010184	0.0093831	0.0044966	0.010211	0.0049435	0.011084	0.006599	0.012073	0.011963	0.0057726	0.013834	0.016337	0.012943	0.010791	0.012387	0.011662	0.098672	0.098672	0	0.007077	0.0068556	0.0023148	0.0039506	0.007493	0.0033894	0	0	0.0074407	0.0033981	0.034452	0.0097185	0.011569	0.0077697	0.0080332	0.0027672	0.012485                      
