       	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	FCER1A 	FOXP3  	GATA3  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
BCL6   	0.42208	0.0090429	0.0063463	0.0080319	0.0053366	0.0021883	0.0071855	0.0071374	0.0021883	0.0067327	0.0054707	0.0054707	0.011819	0.0046209	0.0020218	0.0098135	0.0036307	0	0.01969	0.011419	0.025761	0.010885	0.0060251	0.012809	0.010752	0.010159	0.01039	0.0086912	0.0086912	0.017805	0.006621	0.010822	0.0019522	0.074759	0.0042115	0.01776	0.011014	0.0042115	0.0073288	0.012841	0.010452	0.010233	0.0073288	0.019634	0.0055926	0.006268	0.0058052	0.0077389	0	0.012498	0.0045569	0.0037582	0.015442	0.0043205	0.0097298	0.010192	0.017844	0.0093464	0.006978	0.002395	0.0061744                      
CCL11  	0.0090429	0.027543	0.029455	0.023458	0.030994	0.01952	0.022955	0.024129	0.01952	0.023828	0.032209	0.032209	0.016352	0.0102	0.0066579	0.018164	0.010499	0	0.017057	0.017571	0.014444	0.019051	0.014921	0.018136	0.018147	0.018904	0.020191	0.020841	0.020841	0.016438	0.0086156	0.019253	0.0050387	0.016474	0.008413	0.017115	0.018793	0.008413	0.017077	0.019591	0.019257	0.017418	0.017077	0.021248	0.01222	0.012712	0.014345	0.018189	0	0.0098955	0.012184	0.015731	0.01441	0.010034	0.015266	0.020377	0.017401	0.016842	0.0071054	0.0025243	0.013706                                                 
CCL17  	0.0063463	0.029455	0.040065	0.026045	0.043477	0.023687	0.024434	0.027813	0.023687	0.027943	0.041718	0.041718	0.016372	0.0086977	0.0056831	0.016882	0.0082209	0	0.015616	0.016146	0.012972	0.019052	0.014642	0.017194	0.017338	0.018627	0.019022	0.018843	0.018843	0.015174	0.0071139	0.017485	0.003827	0.014312	0.0068731	0.015512	0.01649	0.0068731	0.013801	0.019214	0.017795	0.016062	0.013801	0.018712	0.010519	0.011297	0.013401	0.018576	0	0.009093	0.011069	0.015559	0.012694	0.0082363	0.013782	0.020335	0.016151	0.015643	0.0058494	0.0019597	0.012252                                         
CCL2   	0.0080319	0.023458	0.026045	0.023439	0.027662	0.017078	0.019827	0.024659	0.017078	0.021785	0.028799	0.028799	0.01886	0.011447	0.0058715	0.018228	0.013862	0	0.0174	0.017083	0.01639	0.019439	0.01918	0.018745	0.019279	0.019847	0.019365	0.018689	0.018689	0.017966	0.0095345	0.018772	0.0049854	0.016275	0.0084372	0.016915	0.018072	0.0084372	0.017026	0.018574	0.018375	0.016896	0.017026	0.018943	0.013357	0.013329	0.012567	0.024853	0	0.01348	0.023885	0.011011	0.015944	0.0095038	0.015834	0.018911	0.017859	0.021406	0.0074236	0.0028428	0.01253                                                
CCL22  	0.0053366	0.030994	0.043477	0.027662	0.051937	0.025699	0.023001	0.030275	0.025699	0.029965	0.04696	0.04696	0.017236	0.0078316	0.0040089	0.016717	0.0080144	0	0.014919	0.015133	0.012818	0.019454	0.016034	0.016912	0.016911	0.018615	0.018487	0.016691	0.016691	0.014823	0.0066344	0.01688	0.0034108	0.013559	0.0063524	0.014927	0.015946	0.0063524	0.013153	0.018661	0.016656	0.015588	0.013153	0.018216	0.0097533	0.010248	0.0098392	0.019624	0	0.0096668	0.011757	0.010376	0.011833	0.0064302	0.013082	0.01949	0.015567	0.015796	0.0054421	0.0017903	0.010556                                        
CCL24  	0.0021883	0.01952	0.023687	0.017078	0.025699	0.25101	0.026729	0.018623	0.20122	0.05883	0.019119	0.019119	0.0082484	0.0031584	0.0022978	0.0092572	0.003507	0	0.0074316	0.0080828	0.0055194	0.012006	0.0067044	0.0088889	0.0084053	0.0096076	0.010173	0.0084238	0.0084238	0.0076942	0.0034156	0.0085541	0.0020791	0.0067327	0.0039773	0.0080754	0.0088896	0.0039773	0.0071546	0.01234	0.0086634	0.011148	0.0071546	0.010095	0.0042627	0.0049046	0.0054543	0.009527	0	0.0035768	0.00461	0.0043756	0.0050515	0.0028262	0.0062945	0.011269	0.0078726	0.0074794	0.0023811	0.00064988	0.0065597                
CCL26  	0.0071855	0.022955	0.024434	0.019827	0.023001	0.026729	0.079382	0.018889	0.026729	0.028982	0.021288	0.021288	0.013512	0.0095656	0.0070599	0.016179	0.007614	0	0.01693	0.018128	0.012784	0.018126	0.0142	0.017339	0.018674	0.019014	0.019385	0.022454	0.022454	0.01548	0.0076667	0.018771	0.0043013	0.015394	0.0075729	0.016426	0.017013	0.0075729	0.014186	0.021791	0.019865	0.017035	0.014186	0.018438	0.011058	0.012863	0.017075	0.013903	0	0.0078065	0.0085909	0.021103	0.013936	0.0098518	0.014594	0.024443	0.017426	0.014411	0.0063789	0.002164	0.014588                                           
CCL5   	0.0071374	0.024129	0.027813	0.024659	0.030275	0.018623	0.018889	0.027665	0.018623	0.02282	0.031873	0.031873	0.024615	0.010436	0.0043151	0.017989	0.013946	0	0.016642	0.015997	0.02025	0.019373	0.016618	0.018943	0.017506	0.018818	0.018672	0.016596	0.016596	0.017702	0.0087794	0.017471	0.0043002	0.016	0.0076177	0.016222	0.017267	0.0076177	0.016125	0.017763	0.017176	0.016232	0.016125	0.018255	0.012501	0.012163	0.009537	0.027105	0	0.023136	0.025859	0.009118	0.014702	0.0073502	0.01495	0.018076	0.017279	0.021974	0.0066528	0.0024137	0.010841                                               
CCL8   	0.0021883	0.01952	0.023687	0.017078	0.025699	0.20122	0.026729	0.018623	0.25101	0.05883	0.019119	0.019119	0.0082484	0.0031584	0.0022978	0.0092572	0.003507	0	0.0074316	0.0080828	0.0055194	0.012006	0.0067044	0.0088889	0.0084053	0.0096076	0.010173	0.0084238	0.0084238	0.0076942	0.0034156	0.0085541	0.0020791	0.0067327	0.0039773	0.0080754	0.0088896	0.0039773	0.0071546	0.01234	0.0086634	0.011148	0.0071546	0.010095	0.0042627	0.0049046	0.0054543	0.009527	0	0.0035768	0.00461	0.0043756	0.0050515	0.0028262	0.0062945	0.011269	0.0078726	0.0074794	0.0023811	0.00064988	0.0065597                
CCR3   	0.0067327	0.023828	0.027943	0.021785	0.029965	0.05883	0.028982	0.02282	0.05883	0.030751	0.028132	0.028132	0.01562	0.0091451	0.0065597	0.01609	0.0092572	0	0.015083	0.015371	0.013242	0.017698	0.014909	0.016272	0.01661	0.017311	0.017521	0.017175	0.017175	0.014951	0.0088177	0.016729	0.0058755	0.014088	0.0086878	0.01506	0.016287	0.0086878	0.014985	0.017963	0.016588	0.016061	0.014985	0.017489	0.010826	0.011342	0.01234	0.017377	0	0.010191	0.012396	0.011269	0.012895	0.0080828	0.013494	0.018332	0.015534	0.015502	0.0063441	0.0023811	0.012667                                               
