ADAM33 	ALOX5  	0.00887
ADAM33 	AREG   	0.0041618
ADAM33 	ARG1   	0.0015966
ADAM33 	BCL6   	0.010804
ADAM33 	CCL11  	0.013163
ADAM33 	CCL17  	0.011945
ADAM33 	CCL2   	0.011805
ADAM33 	CCL22  	0.011888
ADAM33 	CCL24  	0.012213
ADAM33 	CCL26  	0.012213
ADAM33 	CCL5   	0.013021
ADAM33 	CCL8   	0.011464
ADAM33 	CCR3   	0.013566
ADAM33 	CCR4   	0.011742
ADAM33 	CCR8   	0.014474
ADAM33 	CD40LG 	0.01133
ADAM33 	CLC    	0.0076987
ADAM33 	CLCA1  	0.0068797
ADAM33 	CMA1   	0.0089576
ADAM33 	CPA3   	0.0054704
ADAM33 	CRLF2  	0.0098002
ADAM33 	CSF2   	0.011707
ADAM33 	CSF3R  	0.010071
ADAM33 	CYSLTR1	0.0079531
ADAM33 	EPX    	0.010545
ADAM33 	FCER1A 	0.0095296
ADAM33 	FOXP3  	0.011519
ADAM33 	GATA3  	0.012047
ADAM33 	GPR44  	0.038316
ADAM33 	ICOS   	0.010739
ADAM33 	IFNG   	0.011863
ADAM33 	IFNGR2 	0.010086
ADAM33 	IL10   	0.011788
ADAM33 	IL12A  	0.011258
ADAM33 	IL12B  	0.012178
ADAM33 	IL13   	0.012019
ADAM33 	IL13RA1	0.013996
ADAM33 	IL13RA2	0.013338
ADAM33 	IL17A  	0.011358
ADAM33 	IL17RB 	0.0089344
ADAM33 	IL18   	0.011296
ADAM33 	IL1RL1 	0.010227
ADAM33 	IL21   	0.011194
ADAM33 	IL25   	0.010925
ADAM33 	IL2RA  	0.012163
ADAM33 	IL3    	0.01157
ADAM33 	IL33   	0.010837
ADAM33 	IL3RA  	0.011948
ADAM33 	IL4    	0.0123
ADAM33 	IL4R   	0.021557
ADAM33 	IL5    	0.012135
ADAM33 	IL5RA  	0.013061
ADAM33 	IL9    	0.011858
ADAM33 	KIT    	0.0097784
ADAM33 	KITLG  	0.010406
ADAM33 	LTB4R  	0.0063925
ADAM33 	MAF    	0.010999
ADAM33 	MMP9   	0.010407
ADAM33 	MRC1   	0.0015966
ADAM33 	MS4A2  	0.014088
ADAM33 	PDCD1  	0.0089127
ADAM33 	PMCH   	0.005825
ADAM33 	POSTN  	0.0024331
ADAM33 	PPARG  	0.010751
ADAM33 	RETNLB 	0.0042928
ADAM33 	RNASE2 	0.0098057
ADAM33 	RNASE3 	0.011072
ADAM33 	RORC   	0.010213
ADAM33 	SATB1  	0.0099654
ADAM33 	STAT5A 	0.01163
ADAM33 	STAT6  	0.01289
ADAM33 	TBX21  	0.011309
ADAM33 	TGFB1  	0.011182
ADAM33 	TNFRSF4	0.010187
ADAM33 	TNFSF4 	0.0096529
ADAM33 	TSLP   	0.01105
ALOX5  	AREG   	0.0062182
ALOX5  	ARG1   	0.001548
ALOX5  	BCL6   	0.012321
ALOX5  	CCL11  	0.01404
ALOX5  	CCL17  	0.012673
ALOX5  	CCL2   	0.012854
ALOX5  	CCL22  	0.0126
ALOX5  	CCL24  	0.012253
ALOX5  	CCL26  	0.012253
ALOX5  	CCL5   	0.013182
ALOX5  	CCL8   	0.011518
ALOX5  	CCR3   	0.012631
ALOX5  	CCR4   	0.012549
ALOX5  	CCR8   	0.012461
ALOX5  	CD40LG 	0.012664
ALOX5  	CLC    	0.010614
ALOX5  	CLCA1  	0.0082191
ALOX5  	CMA1   	0.013915
ALOX5  	CPA3   	0.011039
ALOX5  	CRLF2  	0.011652
ALOX5  	CSF2   	0.01375
ALOX5  	CSF3R  	0.013049
ALOX5  	CYSLTR1	0.044074
ALOX5  	EPX    	0.01244
ALOX5  	FCER1A 	0.0074289
ALOX5  	FOXP3  	0.012487
ALOX5  	GATA3  	0.012318
ALOX5  	GPR44  	0.012103
ALOX5  	ICOS   	0.01207
ALOX5  	IFNG   	0.012793
ALOX5  	IFNGR2 	0.011468
ALOX5  	IL10   	0.012597
ALOX5  	IL12A  	0.012313
ALOX5  	IL12B  	0.012462
ALOX5  	IL13   	0.012577
ALOX5  	IL13RA1	0.011857
ALOX5  	IL13RA2	0.012275
ALOX5  	IL17A  	0.012691
ALOX5  	IL17RB 	0.011473
ALOX5  	IL18   	0.014158
ALOX5  	IL1RL1 	0.012892
ALOX5  	IL21   	0.01266
ALOX5  	IL25   	0.012591
ALOX5  	IL2RA  	0.012685
ALOX5  	IL3    	0.013331
ALOX5  	IL33   	0.01291
ALOX5  	IL3RA  	0.013752
ALOX5  	IL4    	0.012648
ALOX5  	IL4R   	0.012306
ALOX5  	IL5    	0.013184
ALOX5  	IL5RA  	0.01283
ALOX5  	IL9    	0.013019
ALOX5  	KIT    	0.014038
ALOX5  	KITLG  	0.020342
ALOX5  	LTB4R  	0.055189
ALOX5  	MAF    	0.012044
ALOX5  	MMP9   	0.012284
ALOX5  	MRC1   	0.001548
ALOX5  	MS4A2  	0.0088386
ALOX5  	PDCD1  	0.010702
ALOX5  	PMCH   	0.0086442
ALOX5  	POSTN  	0.003336
ALOX5  	PPARG  	0.012465
ALOX5  	RETNLB 	0.0041033
ALOX5  	RNASE2 	0.012334
ALOX5  	RNASE3 	0.012694
ALOX5  	RORC   	0.012057
ALOX5  	SATB1  	0.011345
ALOX5  	STAT5A 	0.013048
ALOX5  	STAT6  	0.012273
ALOX5  	TBX21  	0.012486
ALOX5  	TGFB1  	0.013452
ALOX5  	TNFRSF4	0.011694
ALOX5  	TNFSF4 	0.011464
ALOX5  	TSLP   	0.012597
AREG   	ARG1   	0.00061255
AREG   	BCL6   	0.0073371
AREG   	CCL11  	0.0081173
AREG   	CCL17  	0.0082209
AREG   	CCL2   	0.010793
AREG   	CCL22  	0.0079245
AREG   	CCL24  	0.0072415
AREG   	CCL26  	0.0072415
AREG   	CCL5   	0.010137
AREG   	CCL8   	0.0061777
AREG   	CCR3   	0.0078577
AREG   	CCR4   	0.0079989
AREG   	CCR8   	0.007594
AREG   	CD40LG 	0.010237
AREG   	CLC    	0.0043465
AREG   	CLCA1  	0.0047821
AREG   	CMA1   	0.014428
AREG   	CPA3   	0.0078753
AREG   	CRLF2  	0.0062967
AREG   	CSF2   	0.0093252
AREG   	CSF3R  	0.0067894
AREG   	CYSLTR1	0.005138
AREG   	EPX    	0.0063688
AREG   	FCER1A 	0.0035839
AREG   	FOXP3  	0.0082811
AREG   	GATA3  	0.0077597
AREG   	GPR44  	0.0069887
AREG   	ICOS   	0.0078735
AREG   	IFNG   	0.0093604
AREG   	IFNGR2 	0.007354
AREG   	IL10   	0.0099633
AREG   	IL12A  	0.0079629
AREG   	IL12B  	0.0083351
AREG   	IL13   	0.0094052
AREG   	IL13RA1	0.0072714
AREG   	IL13RA2	0.0075791
AREG   	IL17A  	0.0098222
AREG   	IL17RB 	0.0061417
AREG   	IL18   	0.0084352
AREG   	IL1RL1 	0.0070616
AREG   	IL21   	0.0080301
AREG   	IL25   	0.0072876
AREG   	IL2RA  	0.0081438
AREG   	IL3    	0.0084561
AREG   	IL33   	0.0077209
AREG   	IL3RA  	0.0077846
AREG   	IL4    	0.0082057
AREG   	IL4R   	0.0075796
AREG   	IL5    	0.0078672
AREG   	IL5RA  	0.0074704
AREG   	IL9    	0.0083163
AREG   	KIT    	0.0083524
AREG   	KITLG  	0.0082072
AREG   	LTB4R  	0.0044024
AREG   	MAF    	0.0072821
AREG   	MMP9   	0.046059
AREG   	MRC1   	0.00061255
AREG   	MS4A2  	0.0044712
AREG   	PDCD1  	0.0069632
AREG   	PMCH   	0.0030525
AREG   	POSTN  	0.0015937
AREG   	PPARG  	0.014228
AREG   	RETNLB 	0.0020671
AREG   	RNASE2 	0.0059576
AREG   	RNASE3 	0.0072553
AREG   	RORC   	0.0087494
AREG   	SATB1  	0.0057055
AREG   	STAT5A 	0.0081077
AREG   	STAT6  	0.0078236
AREG   	TBX21  	0.0080659
AREG   	TGFB1  	0.011994
AREG   	TNFRSF4	0.0072539
AREG   	TNFSF4 	0.0069859
AREG   	TSLP   	0.0077566
ARG1   	BCL6   	0.0034064
ARG1   	CCL11  	0.002592
ARG1   	CCL17  	0.0027856
ARG1   	CCL2   	0.0024169
ARG1   	CCL22  	0.0022676
ARG1   	CCL24  	0.0032562
ARG1   	CCL26  	0.0032562
ARG1   	CCL5   	0.0024121
ARG1   	CCL8   	0.001734
ARG1   	CCR3   	0.0027912
ARG1   	CCR4   	0.0024009
ARG1   	CCR8   	0.0024107
ARG1   	CD40LG 	0.0028175
ARG1   	CLC    	0.0010152
ARG1   	CLCA1  	0.0012421
ARG1   	CMA1   	0.0015064
ARG1   	CPA3   	0.00070174
ARG1   	CRLF2  	0.0016608
ARG1   	CSF2   	0.0025229
ARG1   	CSF3R  	0.0015906
ARG1   	CYSLTR1	0.0011588
ARG1   	EPX    	0.0017555
ARG1   	FCER1A 	0.00098178
ARG1   	FOXP3  	0.0028569
ARG1   	GATA3  	0.0030492
ARG1   	GPR44  	0.0030373
ARG1   	ICOS   	0.0029901
ARG1   	IFNG   	0.0027867
ARG1   	IFNGR2 	0.0021613
ARG1   	IL10   	0.0028149
ARG1   	IL12A  	0.0031288
ARG1   	IL12B  	0.0030411
ARG1   	IL13   	0.002807
ARG1   	IL13RA1	0.0036207
ARG1   	IL13RA2	0.0033917
ARG1   	IL17A  	0.0027015
ARG1   	IL17RB 	0.0015419
ARG1   	IL18   	0.0028141
ARG1   	IL1RL1 	0.0020515
ARG1   	IL21   	0.0025584
ARG1   	IL25   	0.0020819
ARG1   	IL2RA  	0.0028141
ARG1   	IL3    	0.0022793
ARG1   	IL33   	0.0021503
ARG1   	IL3RA  	0.0020889
ARG1   	IL4    	0.0026146
ARG1   	IL4R   	0.002852
ARG1   	IL5    	0.0025799
ARG1   	IL5RA  	0.0022227
ARG1   	IL9    	0.0026746
ARG1   	KIT    	0.0016508
ARG1   	KITLG  	0.0018987
ARG1   	LTB4R  	0.00086877
ARG1   	MAF    	0.0034569
ARG1   	MMP9   	0.0020671
ARG1   	MRC1   	0.28044
ARG1   	MS4A2  	0.0013567
ARG1   	PDCD1  	0.0018739
ARG1   	PMCH   	0.00084917
ARG1   	POSTN  	0.00033764
ARG1   	PPARG  	0.0019749
ARG1   	RETNLB 	0.21717
ARG1   	RNASE2 	0.0015657
ARG1   	RNASE3 	0.0019695
ARG1   	RORC   	0.0021433
ARG1   	SATB1  	0.0017856
ARG1   	STAT5A 	0.002286
ARG1   	STAT6  	0.010266
ARG1   	TBX21  	0.0030708
ARG1   	TGFB1  	0.0022795
ARG1   	TNFRSF4	0.0021622
ARG1   	TNFSF4 	0.0019503
ARG1   	TSLP   	0.0021948
BCL6   	CCL11  	0.013759
BCL6   	CCL17  	0.014115
BCL6   	CCL2   	0.014097
BCL6   	CCL22  	0.014121
BCL6   	CCL24  	0.014106
BCL6   	CCL26  	0.014106
BCL6   	CCL5   	0.013971
