ALOX5  	BCL6   	0.0078287
ALOX5  	CCL11  	0.0094897
ALOX5  	CCL17  	0.0082165
ALOX5  	CCL2   	0.011082
ALOX5  	CCL22  	0.0082458
ALOX5  	CCL24  	0.0065951
ALOX5  	CCL26  	0.0071583
ALOX5  	CCL5   	0.010791
ALOX5  	CCL8   	0.0065951
ALOX5  	CCR3   	0.0089332
ALOX5  	CCR4   	0.0075774
ALOX5  	CCR8   	0.0076561
ALOX5  	CD40LG 	0.0098516
ALOX5  	CMA1   	0.012814
ALOX5  	CRLF2  	0.0033094
ALOX5  	CSF2   	0.038352
ALOX5  	CSF3R  	0.028234
ALOX5  	CYSLTR1	0
ALOX5  	EPX    	0
ALOX5  	FCER1A 	0.0038402
ALOX5  	FOXP3  	0.0092331
ALOX5  	GATA3  	0.0089632
ALOX5  	GPR44  	0.0067582
ALOX5  	ICOS   	0.0077458
ALOX5  	IFNG   	0.010892
ALOX5  	IFNGR2 	0.0062095
ALOX5  	IL10   	0.011382
ALOX5  	IL12A  	0.0083493
ALOX5  	IL12B  	0.0089946
ALOX5  	IL13   	0.011106
ALOX5  	IL13RA1	0.0083986
ALOX5  	IL13RA2	0.0083986
ALOX5  	IL17A  	0.0087893
ALOX5  	IL17RB 	0.0055772
ALOX5  	IL18   	0.0086519
ALOX5  	IL1RL1 	0.0067498
ALOX5  	IL21   	0.0097986
ALOX5  	IL25   	0.0084403
ALOX5  	IL2RA  	0.013134
ALOX5  	IL3    	0.015023
ALOX5  	IL33   	0.0073358
ALOX5  	IL3RA  	0.018674
ALOX5  	IL4    	0.010938
ALOX5  	IL4R   	0.010317
ALOX5  	IL5    	0.012173
ALOX5  	IL5RA  	0.019624
ALOX5  	IL9    	0.014637
ALOX5  	KIT    	0.018201
ALOX5  	KITLG  	0.018201
ALOX5  	LTB4R  	0
ALOX5  	MAF    	0.0051764
ALOX5  	MMP9   	0.0073634
ALOX5  	MS4A2  	0.0012424
ALOX5  	PDCD1  	0.0034261
ALOX5  	PPARG  	0.0057626
ALOX5  	RETNLB 	0.003287
ALOX5  	RNASE2 	0
ALOX5  	RNASE3 	0
ALOX5  	RORC   	0.0064705
ALOX5  	SATB1  	0.0034062
ALOX5  	STAT5A 	0.014101
ALOX5  	STAT6  	0.0088049
ALOX5  	TBX21  	0.009026
ALOX5  	TGFB1  	0.0084874
ALOX5  	TNFRSF4	0.0068358
ALOX5  	TNFSF4 	0.0024106
ALOX5  	TSLP   	0.0088207
BCL6   	CCL11  	0.011677
BCL6   	CCL17  	0.010671
BCL6   	CCL2   	0.012028
BCL6   	CCL22  	0.011335
BCL6   	CCL24  	0.0080519
BCL6   	CCL26  	0.0098363
BCL6   	CCL5   	0.010943
BCL6   	CCL8   	0.0080519
BCL6   	CCR3   	0.01084
BCL6   	CCR4   	0.0088608
BCL6   	CCR8   	0.0091194
BCL6   	CD40LG 	0.013625
BCL6   	CMA1   	0.017058
BCL6   	CRLF2  	0.0085067
BCL6   	CSF2   	0.016071
BCL6   	CSF3R  	0.0078287
BCL6   	CYSLTR1	0
BCL6   	EPX    	0
BCL6   	FCER1A 	0.0054521
BCL6   	FOXP3  	0.019833
BCL6   	GATA3  	0.014535
BCL6   	GPR44  	0.0075738
BCL6   	ICOS   	0.017892
BCL6   	IFNG   	0.016543
BCL6   	IFNGR2 	0.010682
BCL6   	IL10   	0.015454
BCL6   	IL12A  	0.014879
BCL6   	IL12B  	0.014184
BCL6   	IL13   	0.013942
BCL6   	IL13RA1	0.013025
BCL6   	IL13RA2	0.013025
BCL6   	IL17A  	0.015951
BCL6   	IL17RB 	0.0089769
BCL6   	IL18   	0.014495
BCL6   	IL1RL1 	0.0086158
BCL6   	IL21   	0.036699
BCL6   	IL25   	0.010674
BCL6   	IL2RA  	0.017611
BCL6   	IL3    	0.014133
BCL6   	IL33   	0.009618
BCL6   	IL3RA  	0.013047
BCL6   	IL4    	0.014761
BCL6   	IL4R   	0.017385
BCL6   	IL5    	0.014968
BCL6   	IL5RA  	0.013472
BCL6   	IL9    	0.016063
BCL6   	KIT    	0.022768
BCL6   	KITLG  	0.022768
BCL6   	LTB4R  	0
BCL6   	MAF    	0.011372
BCL6   	MMP9   	0.011126
BCL6   	MS4A2  	0.0017964
BCL6   	PDCD1  	0.0099829
BCL6   	PPARG  	0.0099044
BCL6   	RETNLB 	0.0059099
BCL6   	RNASE2 	0
BCL6   	RNASE3 	0
BCL6   	RORC   	0.013998
BCL6   	SATB1  	0.0062681
BCL6   	STAT5A 	0.041179
BCL6   	STAT6  	0.01393
BCL6   	TBX21  	0.019039
BCL6   	TGFB1  	0.013114
BCL6   	TNFRSF4	0.0097571
BCL6   	TNFSF4 	0.0035471
BCL6   	TSLP   	0.016467
CCL11  	CCL17  	0.02203
CCL11  	CCL2   	0.01982
CCL11  	CCL22  	0.02202
CCL11  	CCL24  	0.025558
CCL11  	CCL26  	0.021312
CCL11  	CCL5   	0.021265
CCL11  	CCL8   	0.025558
CCL11  	CCR3   	0.021654
CCL11  	CCR4   	0.024314
CCL11  	CCR8   	0.023748
CCL11  	CD40LG 	0.017552
CCL11  	CMA1   	0.0089221
CCL11  	CRLF2  	0.011078
CCL11  	CSF2   	0.015774
CCL11  	CSF3R  	0.0094897
CCL11  	CYSLTR1	0
CCL11  	EPX    	0
CCL11  	FCER1A 	0.0083996
CCL11  	FOXP3  	0.016421
CCL11  	GATA3  	0.015722
CCL11  	GPR44  	0.025956
CCL11  	ICOS   	0.014609
CCL11  	IFNG   	0.017023
CCL11  	IFNGR2 	0.014023
CCL11  	IL10   	0.016606
CCL11  	IL12A  	0.016485
CCL11  	IL12B  	0.016649
CCL11  	IL13   	0.016841
CCL11  	IL13RA1	0.01669
CCL11  	IL13RA2	0.01669
CCL11  	IL17A  	0.01626
CCL11  	IL17RB 	0.013555
CCL11  	IL18   	0.016283
CCL11  	IL1RL1 	0.014301
CCL11  	IL21   	0.015698
CCL11  	IL25   	0.015237
CCL11  	IL2RA  	0.015929
CCL11  	IL3    	0.017259
CCL11  	IL33   	0.014738
CCL11  	IL3RA  	0.016491
CCL11  	IL4    	0.016359
CCL11  	IL4R   	0.0165
CCL11  	IL5    	0.016769
CCL11  	IL5RA  	0.017024
CCL11  	IL9    	0.017003
CCL11  	KIT    	0.012988
CCL11  	KITLG  	0.012988
CCL11  	LTB4R  	0
CCL11  	MAF    	0.011282
CCL11  	MMP9   	0.017293
CCL11  	MS4A2  	0.0038869
CCL11  	PDCD1  	0.0087966
CCL11  	PPARG  	0.014565
CCL11  	RETNLB 	0.012103
CCL11  	RNASE2 	0
CCL11  	RNASE3 	0
CCL11  	RORC   	0.015349
CCL11  	SATB1  	0.008959
CCL11  	STAT5A 	0.01499
CCL11  	STAT6  	0.017107
CCL11  	TBX21  	0.016038
CCL11  	TGFB1  	0.016591
CCL11  	TNFRSF4	0.01119
CCL11  	TNFSF4 	0.0051121
CCL11  	TSLP   	0.0175
CCL17  	CCL2   	0.021168
CCL17  	CCL22  	0.024869
CCL17  	CCL24  	0.030639
CCL17  	CCL26  	0.02317
CCL17  	CCL5   	0.023469
CCL17  	CCL8   	0.030639
CCL17  	CCR3   	0.024059
CCL17  	CCR4   	0.028421
CCL17  	CCR8   	0.027455
CCL17  	CD40LG 	0.017309
CCL17  	CMA1   	0.0082197
CCL17  	CRLF2  	0.01672
CCL17  	CSF2   	0.015147
CCL17  	CSF3R  	0.0082165
CCL17  	CYSLTR1	0
CCL17  	EPX    	0
CCL17  	FCER1A 	0.0079618
CCL17  	FOXP3  	0.016001
CCL17  	GATA3  	0.014992
CCL17  	GPR44  	0.031216
CCL17  	ICOS   	0.013851
CCL17  	IFNG   	0.016781
CCL17  	IFNGR2 	0.013137
CCL17  	IL10   	0.016033
CCL17  	IL12A  	0.015757
CCL17  	IL12B  	0.016157
CCL17  	IL13   	0.016194
CCL17  	IL13RA1	0.015603
CCL17  	IL13RA2	0.015603
CCL17  	IL17A  	0.015457
CCL17  	IL17RB 	0.010556
CCL17  	IL18   	0.015294
CCL17  	IL1RL1 	0.011
CCL17  	IL21   	0.014828
CCL17  	IL25   	0.012659
CCL17  	IL2RA  	0.015136
CCL17  	IL3    	0.01656
CCL17  	IL33   	0.011981
CCL17  	IL3RA  	0.015167
CCL17  	IL4    	0.016105
CCL17  	IL4R   	0.015702
CCL17  	IL5    	0.015985
CCL17  	IL5RA  	0.014926
CCL17  	IL9    	0.01591
CCL17  	KIT    	0.012292
CCL17  	KITLG  	0.012292
CCL17  	LTB4R  	0
CCL17  	MAF    	0.010474
CCL17  	MMP9   	0.017355
