BCL6   	CCL11  	0.0090429
BCL6   	CCL17  	0.0063463
BCL6   	CCL2   	0.0080319
BCL6   	CCL22  	0.0053366
BCL6   	CCL24  	0.0021883
BCL6   	CCL26  	0.0071855
BCL6   	CCL5   	0.0071374
BCL6   	CCL8   	0.0021883
BCL6   	CCR3   	0.0067327
BCL6   	CCR4   	0.0054707
BCL6   	CCR8   	0.0054707
BCL6   	CD40LG 	0.011819
BCL6   	CMA1   	0.0046209
BCL6   	CRLF2  	0.0020218
BCL6   	CSF2   	0.0098135
BCL6   	CSF3R  	0.0036307
BCL6   	FCER1A 	0
BCL6   	FOXP3  	0.01969
BCL6   	GATA3  	0.011419
BCL6   	ICOS   	0.025761
BCL6   	IFNG   	0.010885
BCL6   	IFNGR2 	0.0060251
BCL6   	IL10   	0.012809
BCL6   	IL12A  	0.010752
BCL6   	IL12B  	0.010159
BCL6   	IL13   	0.01039
BCL6   	IL13RA1	0.0086912
BCL6   	IL13RA2	0.0086912
BCL6   	IL17A  	0.017805
BCL6   	IL17RB 	0.006621
BCL6   	IL18   	0.010822
BCL6   	IL1RL1 	0.0019522
BCL6   	IL21   	0.074759
BCL6   	IL25   	0.0042115
BCL6   	IL2RA  	0.01776
BCL6   	IL3    	0.011014
BCL6   	IL33   	0.0042115
BCL6   	IL3RA  	0.0073288
BCL6   	IL4    	0.012841
BCL6   	IL4R   	0.010452
BCL6   	IL5    	0.010233
BCL6   	IL5RA  	0.0073288
BCL6   	IL9    	0.019634
BCL6   	KIT    	0.0055926
BCL6   	KITLG  	0.006268
BCL6   	MAF    	0.0058052
BCL6   	MMP9   	0.0077389
BCL6   	MS4A2  	0
BCL6   	PDCD1  	0.012498
BCL6   	PPARG  	0.0045569
BCL6   	RETNLB 	0.0037582
BCL6   	RORC   	0.015442
BCL6   	SATB1  	0.0043205
BCL6   	STAT5A 	0.0097298
BCL6   	STAT6  	0.010192
BCL6   	TBX21  	0.017844
BCL6   	TGFB1  	0.0093464
BCL6   	TNFRSF4	0.006978
BCL6   	TNFSF4 	0.002395
BCL6   	TSLP   	0.0061744
CCL11  	CCL17  	0.029455
CCL11  	CCL2   	0.023458
CCL11  	CCL22  	0.030994
CCL11  	CCL24  	0.01952
CCL11  	CCL26  	0.022955
CCL11  	CCL5   	0.024129
CCL11  	CCL8   	0.01952
CCL11  	CCR3   	0.023828
CCL11  	CCR4   	0.032209
CCL11  	CCR8   	0.032209
CCL11  	CD40LG 	0.016352
CCL11  	CMA1   	0.0102
CCL11  	CRLF2  	0.0066579
CCL11  	CSF2   	0.018164
CCL11  	CSF3R  	0.010499
CCL11  	FCER1A 	0
CCL11  	FOXP3  	0.017057
CCL11  	GATA3  	0.017571
CCL11  	ICOS   	0.014444
CCL11  	IFNG   	0.019051
CCL11  	IFNGR2 	0.014921
CCL11  	IL10   	0.018136
CCL11  	IL12A  	0.018147
CCL11  	IL12B  	0.018904
CCL11  	IL13   	0.020191
CCL11  	IL13RA1	0.020841
CCL11  	IL13RA2	0.020841
CCL11  	IL17A  	0.016438
CCL11  	IL17RB 	0.0086156
CCL11  	IL18   	0.019253
CCL11  	IL1RL1 	0.0050387
CCL11  	IL21   	0.016474
CCL11  	IL25   	0.008413
CCL11  	IL2RA  	0.017115
CCL11  	IL3    	0.018793
CCL11  	IL33   	0.008413
CCL11  	IL3RA  	0.017077
CCL11  	IL4    	0.019591
CCL11  	IL4R   	0.019257
CCL11  	IL5    	0.017418
