	ADAM33	ADRB2	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CHI3L1	CHIA	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL31	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	PRG2	RETNLB	RNASE2	RNASE3	RORC	SATB1	SIGLEC8	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TPSAB1	TSLP	
ADAM33	0.011928	0.011928	0.011927	0.011929	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011924	0.011929	0.011925	0.01188	0.011929	0.011897	0.011927	0.011929	0.011921	0.011931	0.011927	0.011926	0.011928	0.011927	0.011927	0.01193	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011931	0.011927	0.011927	0.011927	0.011927	0.011904	0.011926	0.011927	0.011927	0.011924	0.011926	0.011927	0.011927	0.011927	0.011929	0.011929	0.011928	0.011925	0.011927	0.011881	0.011929	0.011921	0.011925	0.011927	0.011927	0.010199	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011921	0.011927	
ADRB2	0.011928	0.011928	0.011927	0.011928	0.011927	0.011928	0.011927	0.011927	0.011927	0.011926	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011924	0.011927	0.011925	0.01189	0.011929	0.011897	0.011927	0.01193	0.011922	0.011931	0.011927	0.011926	0.011928	0.011926	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011931	0.011927	0.011927	0.011927	0.011927	0.011904	0.011926	0.011927	0.011927	0.011925	0.011926	0.011927	0.011927	0.011927	0.011929	0.011929	0.01193	0.011916	0.011927	0.011883	0.011928	0.011921	0.011925	0.011927	0.011927	0.010204	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011922	0.011927	
ALOX5	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011927	0.011927	0.011926	0.011928	0.011927	0.011923	0.011926	0.011923	0.011866	0.011929	0.011898	0.011927	0.01193	0.011919	0.01193	0.011926	0.011925	0.011928	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011929	0.011927	0.011926	0.011927	0.011927	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011926	0.011927	0.011926	0.011927	0.011928	0.011928	0.011929	0.011911	0.011927	0.011872	0.011928	0.011919	0.011924	0.011927	0.011927	0.010293	0.011926	0.011927	0.011926	0.011926	0.011928	0.011927	0.011918	0.011927	
AREG	0.011929	0.011928	0.011927	0.011949	0.011927	0.011929	0.011927	0.011927	0.011928	0.011926	0.011926	0.011926	0.011927	0.011929	0.011926	0.011927	0.011927	0.011928	0.01193	0.011929	0.011922	0.011946	0.011921	0.011831	0.01193	0.011895	0.011928	0.011926	0.011915	0.011929	0.011928	0.011926	0.011928	0.011934	0.01193	0.01193	0.011928	0.011928	0.011927	0.01193	0.011927	0.011927	0.011928	0.01193	0.011928	0.011927	0.011928	0.011928	0.011927	0.011927	0.011931	0.011927	0.011927	0.011927	0.011928	0.011903	0.011926	0.011928	0.011927	0.011922	0.011924	0.01193	0.011929	0.011927	0.011928	0.011931	0.011916	0.012066	0.011927	0.011851	0.01193	0.011924	0.011922	0.011928	0.011933	0.0101	0.011928	0.011928	0.011928	0.011931	0.011929	0.011928	0.011911	0.011927	
ARG1	0.011927	0.011927	0.011927	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011923	0.011869	0.011928	0.011898	0.011926	0.011928	0.011919	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011916	0.011926	0.011879	0.011928	0.011919	0.011924	0.011926	0.011927	0.010307	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011918	0.011926	
BCL6	0.011928	0.011928	0.011927	0.011929	0.011927	0.011928	0.011927	0.011927	0.011927	0.011926	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011923	0.011928	0.011924	0.011871	0.011929	0.011897	0.011927	0.011929	0.01192	0.01193	0.011927	0.011926	0.011928	0.011927	0.011927	0.01193	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011931	0.011927	0.011927	0.011927	0.011927	0.011904	0.011926	0.011927	0.011927	0.011924	0.011926	0.011927	0.011927	0.011927	0.011929	0.011929	0.011926	0.011924	0.011927	0.011882	0.011929	0.011921	0.011924	0.011927	0.011928	0.01022	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011919	0.011927	
CCL11	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011925	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011926	0.011924	0.011893	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011925	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011928	0.011916	0.011926	0.011888	0.011927	0.011921	0.011924	0.011926	0.011926	0.010286	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.011921	0.011926	
CCL17	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011927	0.011924	0.011897	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011927	0.011921	0.011926	0.011885	0.011927	0.011921	0.011924	0.011926	0.011926	0.010276	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	
CCL2	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011924	0.011882	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011927	0.01192	0.011926	0.01188	0.011928	0.01192	0.011924	0.011926	0.011926	0.010283	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.01192	0.011926	
CCL22	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011925	0.011925	0.011926	0.011925	0.011925	0.011926	0.011925	0.011927	0.011925	0.011926	0.011925	0.011926	0.011927	0.011926	0.011923	0.011926	0.011924	0.011906	0.011928	0.011897	0.011926	0.011928	0.011922	0.011929	0.011926	0.011925	0.011927	0.011925	0.011926	0.011928	0.011926	0.011926	0.011926	0.011925	0.011925	0.011925	0.011926	0.011927	0.011926	0.011925	0.011926	0.011926	0.011925	0.011925	0.01193	0.011925	0.011925	0.011926	0.011926	0.011903	0.011925	0.011925	0.011925	0.011924	0.011925	0.011925	0.011926	0.011925	0.011927	0.011927	0.011927	0.011918	0.011926	0.011891	0.011927	0.011922	0.011925	0.011925	0.011925	0.010282	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.011924	0.011926	
CCL24	0.011927	0.011927	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011926	0.011924	0.011888	0.011928	0.011897	0.011926	0.01193	0.011921	0.011929	0.011926	0.011925	0.011927	0.011925	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011927	0.011934	0.011913	0.011926	0.011884	0.011927	0.01192	0.011924	0.011926	0.011926	0.010289	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.011921	0.011926	
CCL26	0.011927	0.011927	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011927	0.011927	0.011926	0.011924	0.011928	0.011897	0.011927	0.011929	0.011924	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011903	0.011925	0.011926	0.011926	0.011925	0.011925	0.011926	0.011926	0.011926	0.011928	0.011927	0.011929	0.011917	0.011926	0.011892	0.011927	0.011923	0.011926	0.011926	0.011925	0.01021	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011927	0.011926	
CCL5	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011925	0.011926	0.011926	0.011925	0.011926	0.011926	0.011925	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011926	0.011924	0.011893	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011925	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011925	0.011926	0.011926	0.011926	0.011926	0.01193	0.011925	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011928	0.011917	0.011926	0.011889	0.011927	0.011921	0.011924	0.011926	0.011926	0.010291	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.011921	0.011926	
CCL8	0.011929	0.011929	0.011928	0.011929	0.011928	0.011929	0.011927	0.011927	0.011928	0.011927	0.011927	0.011928	0.011927	0.011929	0.011927	0.011928	0.011928	0.011928	0.011929	0.011928	0.011923	0.011928	0.011925	0.011877	0.01193	0.011897	0.011928	0.01193	0.011921	0.011931	0.011928	0.011926	0.011929	0.011927	0.011927	0.01193	0.011928	0.011928	0.011928	0.011927	0.011927	0.011927	0.011928	0.01193	0.011928	0.011927	0.011928	0.011928	0.011927	0.011927	0.011932	0.011927	0.011927	0.011927	0.011928	0.011904	0.011926	0.011927	0.011927	0.011924	0.011927	0.011928	0.011928	0.011928	0.011929	0.011929	0.011929	0.011916	0.011928	0.01187	0.011929	0.01192	0.011925	0.011928	0.011928	0.010187	0.011928	0.011928	0.011928	0.011927	0.011929	0.011928	0.011921	0.011928	
CCR3	0.011927	0.011927	0.011926	0.011926	0.011926	0.011927	0.011925	0.011926	0.011926	0.011925	0.011926	0.011926	0.011925	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011926	0.011924	0.011897	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011925	0.011926	0.011928	0.011926	0.011926	0.011926	0.011925	0.011925	0.011925	0.011926	0.011927	0.011926	0.011925	0.011926	0.011926	0.011925	0.011925	0.01193	0.011925	0.011926	0.011926	0.011926	0.011904	0.011925	0.011925	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011928	0.011916	0.011926	0.011892	0.011927	0.011921	0.011924	0.011926	0.011926	0.010287	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.011922	0.011926	
CCR4	0.011927	0.011927	0.011927	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011923	0.011873	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011918	0.011926	0.01188	0.011928	0.01192	0.011924	0.011926	0.011927	0.010296	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
CCR8	0.011927	0.011927	0.011927	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	0.011923	0.011872	0.011928	0.011898	0.011926	0.011929	0.011919	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011927	0.011914	0.011926	0.011876	0.011928	0.011919	0.011924	0.011926	0.011927	0.010309	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
CD40LG	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011923	0.011876	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011919	0.011926	0.011881	0.011928	0.01192	0.011924	0.011926	0.011927	0.010294	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
CHI3L1	0.011928	0.011928	0.011928	0.01193	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011929	0.011928	0.011924	0.011929	0.011925	0.011877	0.01193	0.011897	0.011928	0.01193	0.011921	0.011931	0.011927	0.011926	0.011928	0.011927	0.011927	0.01193	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011928	0.01193	0.011928	0.011927	0.011928	0.011927	0.011927	0.011927	0.011932	0.011927	0.011927	0.011927	0.011927	0.011904	0.011926	0.011927	0.011927	0.011924	0.011926	0.011928	0.011927	0.011927	0.011929	0.011929	0.011928	0.011925	0.011928	0.011873	0.011929	0.011921	0.011925	0.011927	0.011928	0.01019	0.011927	0.011928	0.011927	0.011927	0.011929	0.011928	0.01192	0.011927	
CHIA	0.011927	0.011927	0.011927	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011923	0.011928	0.011923	0.01186	0.011929	0.011897	0.011927	0.011929	0.011918	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011927	0.011926	0.011926	0.011928	0.011928	0.011927	0.011925	0.011926	0.01187	0.011928	0.011919	0.011923	0.011926	0.011927	0.010302	0.011926	0.011927	0.011926	0.011926	0.011928	0.011927	0.011917	0.011926	
