	ADAM33	ADRB2	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CHIA	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL31	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	PRG2	RETNLB	RNASE2	RNASE3	RORC	SATB1	SIGLEC8	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
ADAM33	0.073559	0.015681	0.0092244	0.0050352	0.0089005	0.012055	0.012487	0.012119	0.012321	0.012304	0.013966	0.013013	0.012674	0.012231	0.013213	0.012454	0.013312	0.012296	0.0066831	0.0090082	0.0090182	0.0099406	0.0039911	0.010773	0.012224	0.012612	0.0073495	0.011674	0.0090687	0.012509	0.012415	0.022536	0.012087	0.012511	0.013456	0.012452	0.012864	0.016595	0.012391	0.012984	0.0125	0.012272	0.011135	0.012393	0.011512	0.012632	0.012045	0.012422	0.012254	0.0088515	0.01209	0.012354	0.012558	0.015248	0.012324	0.012638	0.012189	0.012104	0.011639	0.0069875	0.012077	0.011316	0.0089248	0.01188	0.011194	0.0064113	0.003568	0.011897	0.0078639	0.0073192	0.010576	0.011645	0.012881	0.011178	0.0064113	0.012214	0.012618	0.012772	0.012103	0.01184	0.011185	0.01199	
ADRB2	0.015681	0.39176	0.0056512	0.0028661	0.0054835	0.007838	0.0074679	0.0076028	0.0087139	0.0076039	0.0072915	0.0075375	0.0077411	0.0066145	0.0076266	0.0076152	0.0075222	0.0079773	0.0039715	0.0045648	0.0052963	0.005716	0.0019426	0.0060767	0.0082454	0.0069498	0.0037939	0.0064433	0.0043993	0.0092325	0.0084852	0.008134	0.0081065	0.0089053	0.013619	0.0092431	0.010844	0.03078	0.0086942	0.0076542	0.0077727	0.0089094	0.006549	0.0094698	0.0074917	0.0094145	0.0075846	0.0079963	0.007663	0.0053664	0.0077936	0.0073727	0.0082736	0.0090436	0.0081419	0.0073457	0.0078535	0.0070856	0.0071828	0.0037231	0.0079647	0.0073292	0.0053193	0.006229	0.007345	0.0034868	0.0018446	0.0078614	0.0042782	0.004246	0.0058858	0.0067859	0.011472	0.0067325	0.0034868	0.0077508	0.0085509	0.0099027	0.0079755	0.0074086	0.0067915	0.007623	
ALOX5	0.0092244	0.0056512	0.047145	0.0054695	0.0077371	0.010779	0.013489	0.011126	0.011459	0.011179	0.01093	0.010883	0.011604	0.010384	0.011268	0.011186	0.011268	0.011189	0.0057616	0.0093426	0.0083086	0.010372	0.004572	0.010032	0.012469	0.011162	0.066914	0.011283	0.0067758	0.010966	0.010893	0.011028	0.010756	0.011271	0.010366	0.011026	0.011081	0.010769	0.010946	0.010322	0.010984	0.011207	0.011328	0.013328	0.011673	0.011148	0.011302	0.011163	0.01156	0.0083121	0.011595	0.011555	0.011115	0.011033	0.011935	0.011503	0.011395	0.011591	0.015271	0.067461	0.010731	0.010999	0.0083167	0.0087378	0.0099555	0.0079757	0.0033711	0.011082	0.010066	0.0061646	0.011161	0.011351	0.010689	0.010276	0.0079757	0.01116	0.010824	0.011032	0.011519	0.010619	0.010091	0.011055	
AREG	0.0050352	0.0028661	0.0054695	0.4011	0.0049679	0.0068985	0.0076543	0.0075534	0.0097245	0.0075284	0.0067232	0.006845	0.009402	0.0061969	0.0073836	0.0074758	0.0073253	0.0093225	0.0036087	0.0046037	0.0049486	0.014079	0.0073328	0.0059659	0.0086562	0.0067978	0.0041368	0.006438	0.003828	0.007702	0.0072912	0.0067075	0.0073359	0.0086672	0.0071303	0.009086	0.0074927	0.0073292	0.0084048	0.006758	0.0075777	0.0089929	0.0063087	0.0077509	0.0066059	0.0074683	0.0071571	0.0076721	0.0080038	0.0054176	0.0074208	0.0076584	0.0077898	0.00735	0.0073512	0.0071315	0.0080333	0.0083809	0.010578	0.0049815	0.0067409	0.042239	0.0055548	0.0054269	0.0067355	0.0028844	0.0016469	0.013123	0.0046367	0.0035106	0.006193	0.0069288	0.0079059	0.0057244	0.0028844	0.0077184	0.007185	0.0074476	0.011002	0.0071737	0.0066321	0.0072983	
ARG1	0.0089005	0.0054835	0.0077371	0.0049679	0.063807	0.011082	0.010675	0.013574	0.013019	0.011365	0.010927	0.011139	0.010998	0.011054	0.011152	0.011158	0.01107	0.011225	0.041698	0.0077092	0.0091483	0.0085039	0.0033276	0.010566	0.010704	0.0097781	0.0058961	0.009619	0.0063495	0.011251	0.011054	0.010701	0.011115	0.011147	0.011278	0.013239	0.011366	0.010909	0.011895	0.011262	0.011065	0.010944	0.0093194	0.011091	0.010025	0.011004	0.010534	0.010981	0.010762	0.0075962	0.010859	0.010254	0.010826	0.010804	0.010633	0.010337	0.010994	0.009951	0.010183	0.0057447	0.010893	0.010433	0.05495	0.0085709	0.010839	0.0050733	0.0042514	0.010502	0.0064065	0.063686	0.0087797	0.0098471	0.010566	0.0095939	0.0050733	0.01064	0.014233	0.011183	0.011054	0.0104	0.010205	0.011066	
BCL6	0.012055	0.007838	0.010779	0.0068985	0.011082	0.014742	0.012785	0.012976	0.012924	0.01313	0.012994	0.01313	0.012927	0.013244	0.013013	0.013126	0.013077	0.013284	0.0086976	0.010758	0.010517	0.011349	0.0053744	0.013161	0.012805	0.013219	0.0089142	0.012446	0.0094448	0.013263	0.013338	0.012895	0.013624	0.013153	0.01319	0.013073	0.01321	0.012817	0.012847	0.013179	0.013165	0.013102	0.012839	0.013003	0.013291	0.013291	0.01312	0.013155	0.013027	0.012392	0.013114	0.013185	0.012993	0.013013	0.012887	0.013113	0.012902	0.012876	0.012615	0.0088762	0.013535	0.012438	0.011072	0.011466	0.014009	0.009006	0.005153	0.013163	0.0094816	0.0096757	0.011735	0.012637	0.013495	0.013479	0.009006	0.013173	0.012966	0.013378	0.01304	0.013679	0.013992	0.013182	
CCL11	0.012487	0.0074679	0.013489	0.0076543	0.010675	0.012785	0.012961	0.012742	0.012714	0.012843	0.012939	0.012865	0.012814	0.013043	0.012867	0.012891	0.012893	0.012754	0.008514	0.012993	0.011197	0.011521	0.0064096	0.012899	0.012803	0.012988	0.014519	0.013094	0.0099755	0.012746	0.012733	0.012884	0.012733	0.012752	0.012619	0.012633	0.012712	0.012433	0.01257	0.012736	0.012831	0.012746	0.013906	0.012787	0.012872	0.01276	0.01299	0.012793	0.012833	0.01129	0.012857	0.012839	0.012677	0.012719	0.012668	0.012918	0.012684	0.012704	0.012758	0.013638	0.01272	0.012284	0.011378	0.011569	0.012577	0.0085231	0.0059537	0.012886	0.012435	0.0090695	0.013036	0.013011	0.012822	0.012514	0.0085231	0.012753	0.012567	0.012732	0.012755	0.012798	0.012672	0.012801	
CCL17	0.012119	0.0076028	0.011126	0.0075534	0.013574	0.012976	0.012742	0.013239	0.013009	0.013165	0.012947	0.012996	0.012834	0.013323	0.012942	0.01305	0.013021	0.012909	0.0093651	0.01152	0.010765	0.011446	0.0061691	0.01486	0.012705	0.012955	0.0098583	0.01261	0.010069	0.012917	0.012866	0.012845	0.012929	0.012867	0.012825	0.01286	0.012841	0.012525	0.012678	0.012904	0.012919	0.012806	0.012844	0.012758	0.012944	0.012864	0.012916	0.012866	0.012848	0.01129	0.012934	0.01287	0.01277	0.012777	0.012645	0.012906	0.012739	0.012697	0.012524	0.0097066	0.01287	0.012331	0.016173	0.011655	0.012988	0.008439	0.0056706	0.012928	0.010645	0.010759	0.012153	0.012662	0.012933	0.012648	0.008439	0.01291	0.0128	0.012862	0.012828	0.013011	0.013071	0.013093	
CCL2	0.012321	0.0087139	0.011459	0.0097245	0.013019	0.012924	0.012714	0.013009	0.012936	0.012929	0.012874	0.012919	0.01279	0.013136	0.012863	0.012949	0.012921	0.012859	0.0091143	0.011502	0.010683	0.011754	0.0070295	0.013165	0.012683	0.012955	0.010375	0.012577	0.010097	0.012864	0.012844	0.012814	0.012884	0.012834	0.01292	0.012822	0.012832	0.012585	0.012634	0.012865	0.01288	0.012791	0.012829	0.012748	0.012923	0.012828	0.012856	0.012828	0.012811	0.011541	0.012866	0.012857	0.012733	0.012757	0.012604	0.012872	0.012703	0.01274	0.012587	0.01038	0.012843	0.012545	0.015213	0.011667	0.012929	0.008388	0.0054995	0.013047	0.010698	0.010349	0.012145	0.012637	0.012996	0.012644	0.008388	0.012815	0.012716	0.012839	0.012826	0.012965	0.012949	0.012876	
CCL22	0.012304	0.0076039	0.011179	0.0075284	0.011365	0.01313	0.012843	0.013165	0.012929	0.013321	0.013097	0.013143	0.012928	0.01359	0.013058	0.013175	0.01315	0.013013	0.0086919	0.011561	0.010712	0.011499	0.0059917	0.015618	0.012795	0.01311	0.0098932	0.012738	0.010123	0.01303	0.012981	0.012997	0.013065	0.012972	0.012912	0.012872	0.012943	0.012617	0.012752	0.01302	0.013031	0.01291	0.012991	0.012843	0.013013	0.012986	0.013049	0.012983	0.012961	0.011421	0.013037	0.013013	0.012881	0.012894	0.012757	0.013048	0.012828	0.012825	0.01262	0.0097091	0.01301	0.012404	0.012367	0.011729	0.013181	0.0086375	0.00535	0.013043	0.010469	0.0095341	0.012218	0.012786	0.013073	0.012828	0.0086375	0.013069	0.012807	0.012979	0.012919	0.013185	0.013297	0.013263	
CCL24	0.013966	0.0072915	0.01093	0.0067232	0.010927	0.012994	0.012939	0.012947	0.012874	0.013097	0.013712	0.013369	0.013024	0.014018	0.013251	0.013298	0.013329	0.012924	0.0091952	0.01343	0.011461	0.01128	0.0055036	0.01293	0.012851	0.01304	0.0094701	0.013557	0.010351	0.012954	0.012924	0.013639	0.012911	0.012921	0.012802	0.012805	0.012908	0.01267	0.012792	0.013067	0.013014	0.012835	0.012869	0.012806	0.012854	0.012934	0.012986	0.012981	0.013002	0.010664	0.012967	0.012952	0.012886	0.012977	0.012813	0.01309	0.012817	0.012755	0.012552	0.0091913	0.012952	0.012275	0.011311	0.011905	0.012643	0.0089594	0.0059859	0.012893	0.011102	0.0096875	0.013056	0.0133	0.012939	0.012783	0.0089594	0.012904	0.01285	0.012925	0.012887	0.01295	0.012759	0.012953	
CCL26	0.013013	0.0075375	0.010883	0.006845	0.011139	0.01313	0.012865	0.012996	0.012919	0.013143	0.013369	0.013784	0.012971	0.014106	0.013215	0.013356	0.013326	0.013001	0.0095166	0.011523	0.010874	0.011421	0.0056972	0.013075	0.012802	0.013178	0.0093123	0.012829	0.011035	0.013044	0.013042	0.013299	0.01304	0.013	0.012988	0.012888	0.01301	0.012706	0.012861	0.013336	0.013114	0.012909	0.012868	0.012867	0.01299	0.013017	0.013051	0.013025	0.012992	0.010926	0.013033	0.013039	0.012963	0.013048	0.012813	0.013128	0.01285	0.012845	0.012593	0.009133	0.013089	0.012351	0.011466	0.012456	0.012868	0.0089274	0.0056501	0.012987	0.010026	0.0099599	0.012152	0.012835	0.013078	0.012973	0.0089274	0.012989	0.012903	0.013028	0.012956	0.013107	0.012966	0.013028	
CCL5	0.012674	0.0077411	0.011604	0.009402	0.010998	0.012927	0.012814	0.012834	0.01279	0.012928	0.013024	0.012971	0.01287	0.013209	0.012936	0.012971	0.01297	0.012862	0.0086876	0.012915	0.011227	0.011758	0.0069851	0.013098	0.012814	0.01306	0.010575	0.013089	0.010121	0.012856	0.012842	0.012962	0.012878	0.012838	0.012837	0.012746	0.012817	0.012542	0.012651	0.012874	0.012903	0.012791	0.012923	0.012759	0.012934	0.012843	0.0129	0.012877	0.012888	0.011425	0.012888	0.01292	0.01276	0.012805	0.012674	0.012963	0.012742	0.012801	0.01263	0.010527	0.012851	0.012506	0.011758	0.011698	0.012878	0.0085868	0.0059374	0.012943	0.012665	0.0092954	0.013044	0.013018	0.01293	0.012678	0.0085868	0.012839	0.012663	0.012834	0.012834	0.012979	0.012939	0.012886	
CCL8	0.012231	0.0066145	0.010384	0.0061969	0.011054	0.013244	0.013043	0.013323	0.013136	0.01359	0.014018	0.014106	0.013209	0.022696	0.014033	0.014568	0.014474	0.013067	0.0084125	0.01101	0.010525	0.0111	0.004936	0.013751	0.012901	0.013282	0.0086692	0.012947	0.0089627	0.013193	0.012948	0.013696	0.012983	0.013074	0.012568	0.01291	0.012976	0.012608	0.01287	0.013061	0.013068	0.013023	0.012467	0.012853	0.012595	0.013053	0.01297	0.013095	0.013118	0.012356	0.01301	0.013074	0.013001	0.013046	0.012863	0.013348	0.012922	0.012847	0.012609	0.0084184	0.012928	0.0123	0.011441	0.011124	0.012505	0.0074472	0.004962	0.013076	0.0094597	0.0095974	0.011971	0.012797	0.012975	0.01228	0.0074472	0.013573	0.013251	0.013051	0.012969	0.012949	0.012616	0.013172	
CCR3	0.013213	0.0076266	0.011268	0.0073836	0.011152	0.013013	0.012867	0.012942	0.012863	0.013058	0.013251	0.013215	0.012936	0.014033	0.013112	0.013185	0.013185	0.012923	0.0089862	0.012575	0.011151	0.01149	0.0060409	0.013261	0.012824	0.013223	0.010049	0.013092	0.010364	0.012941	0.012911	0.013221	0.012933	0.012908	0.012855	0.012807	0.012892	0.012631	0.012741	0.013048	0.012989	0.012841	0.012911	0.012802	0.012897	0.01292	0.012966	0.012955	0.01296	0.011189	0.012947	0.012993	0.012847	0.01293	0.012744	0.013087	0.012798	0.012816	0.012604	0.0098479	0.012929	0.012349	0.011826	0.011925	0.012816	0.0086617	0.0058304	0.012947	0.011346	0.009616	0.012723	0.013019	0.012974	0.012736	0.0086617	0.012943	0.012793	0.012914	0.012877	0.013017	0.012907	0.012969	
CCR4	0.012454	0.0076152	0.011186	0.0074758	0.011158	0.013126	0.012891	0.01305	0.012949	0.013175	0.013298	0.013356	0.012971	0.014568	0.013185	0.013342	0.013306	0.013005	0.0085124	0.011665	0.010706	0.011485	0.0059129	0.013557	0.012817	0.013099	0.0098981	0.012868	0.010191	0.013042	0.013014	0.013161	0.013052	0.012989	0.012944	0.012882	0.012976	0.012654	0.012776	0.01307	0.013058	0.012941	0.013083	0.01287	0.013061	0.012999	0.013056	0.013003	0.012983	0.011646	0.013035	0.013016	0.012909	0.012937	0.012798	0.013086	0.012836	0.012832	0.012636	0.0096793	0.013043	0.012421	0.012105	0.011794	0.013052	0.0087422	0.0051776	0.01308	0.010422	0.0092903	0.012293	0.012857	0.013108	0.012879	0.0087422	0.013047	0.012851	0.013004	0.012947	0.013132	0.013098	0.013072	
CCR8	0.013312	0.0075222	0.011268	0.0073253	0.01107	0.013077	0.012893	0.013021	0.012921	0.01315	0.013329	0.013326	0.01297	0.014474	0.013185	0.013306	0.0133	0.012971	0.0084857	0.011883	0.010765	0.011489	0.0059634	0.01355	0.012832	0.013172	0.010038	0.012949	0.01018	0.013	0.012957	0.013321	0.012988	0.012953	0.012849	0.012844	0.012932	0.012667	0.012752	0.013022	0.013023	0.012901	0.012948	0.012841	0.012938	0.012965	0.013006	0.012984	0.012979	0.011615	0.012992	0.013015	0.012885	0.012959	0.012782	0.013103	0.01282	0.012838	0.012634	0.009825	0.012976	0.012382	0.011964	0.011792	0.012894	0.0087219	0.0052333	0.013023	0.010973	0.0092525	0.01247	0.012901	0.013039	0.01277	0.0087219	0.013027	0.012827	0.012964	0.012916	0.013067	0.01298	0.013039	
CD40LG	0.012296	0.0079773	0.011189	0.0093225	0.011225	0.013284	0.012754	0.012909	0.012859	0.013013	0.012924	0.013001	0.012862	0.013067	0.012923	0.013005	0.012971	0.01307	0.0087246	0.011352	0.010637	0.011732	0.0066153	0.013213	0.012767	0.013191	0.0097595	0.012586	0.010328	0.013062	0.013046	0.012856	0.013257	0.012994	0.013052	0.01292	0.012982	0.01266	0.012733	0.01306	0.013026	0.012917	0.012834	0.012852	0.013095	0.013004	0.012987	0.013003	0.012935	0.011686	0.012985	0.013081	0.012887	0.0129	0.012718	0.013015	0.012804	0.012874	0.012637	0.0097592	0.01311	0.012581	0.011796	0.011874	0.013899	0.0084866	0.0053343	0.013051	0.010524	0.0095271	0.012095	0.012703	0.013153	0.01299	0.0084866	0.012956	0.012765	0.013027	0.012938	0.013517	0.013949	0.013054	
CHIA	0.0066831	0.0039715	0.0057616	0.0036087	0.041698	0.0086976	0.008514	0.0093651	0.0091143	0.0086919	0.0091952	0.0095166	0.0086876	0.0084125	0.0089862	0.0085124	0.0084857	0.0087246	0.20159	0.0060702	0.0087129	0.0064106	0.0023014	0.0073244	0.0085562	0.0074725	0.0042205	0.0074654	0.0057834	0.0090592	0.0091132	0.0084425	0.0087022	0.009021	0.0097785	0.010308	0.0095858	0.0089687	0.014459	0.010253	0.0095621	0.0088491	0.0072252	0.0090736	0.0077788	0.0091034	0.0089016	0.0090215	0.0086132	0.0055836	0.0089344	0.0079307	0.0087617	0.0089823	0.0085146	0.0080908	0.0089513	0.0076833	0.0078439	0.004031	0.008653	0.0083067	0.016501	0.0086306	0.0076567	0.0036099	0.0040456	0.0078188	0.0046031	0.11895	0.0066527	0.0076376	0.0082433	0.0072057	0.0036099	0.0085015	0.013219	0.0092455	0.0089836	0.0078658	0.0074107	0.008991	
CLC	0.0090082	0.0045648	0.0093426	0.0046037	0.0077092	0.010758	0.012993	0.01152	0.011502	0.011561	0.01343	0.011523	0.012915	0.01101	0.012575	0.011665	0.011883	0.011352	0.0060702	0.05558	0.034116	0.0094049	0.0036355	0.0099159	0.013008	0.011427	0.0079239	0.023217	0.0065856	0.011184	0.010893	0.011856	0.010769	0.011356	0.010171	0.011194	0.011035	0.010717	0.011962	0.010695	0.011404	0.011238	0.010914	0.011316	0.010356	0.011319	0.011465	0.012069	0.012701	0.0075252	0.011458	0.011432	0.011459	0.011331	0.012021	0.012051	0.012459	0.011289	0.011307	0.0071784	0.010697	0.010697	0.0079486	0.0088769	0.009546	0.0064353	0.036414	0.010801	0.025054	0.0063662	0.027096	0.021046	0.010447	0.0097991	0.0064353	0.011241	0.011885	0.01102	0.011432	0.010606	0.0098311	0.011401	
CLCA1	0.0090182	0.0052963	0.0083086	0.0049486	0.0091483	0.010517	0.011197	0.010765	0.010683	0.010712	0.011461	0.010874	0.011227	0.010525	0.011151	0.010706	0.010765	0.010637	0.0087129	0.034116	0.048204	0.0093823	0.0045968	0.0097882	0.01113	0.010397	0.0067745	0.015338	0.0072629	0.010687	0.010547	0.010693	0.010444	0.010734	0.010428	0.010681	0.010696	0.010323	0.011783	0.01092	0.011038	0.010616	0.010019	0.010682	0.010055	0.01078	0.010856	0.011073	0.011204	0.0079017	0.010731	0.010529	0.010699	0.010722	0.010773	0.010903	0.012257	0.010576	0.010401	0.0065182	0.010428	0.010079	0.0086207	0.0093391	0.0097191	0.0056024	0.11543	0.010205	0.01115	0.0088234	0.015947	0.014696	0.010247	0.0096389	0.0056024	0.010584	0.011809	0.010631	0.010686	0.010233	0.0098142	0.010797	
CMA1	0.0099406	0.005716	0.010372	0.014079	0.0085039	0.011349	0.011521	0.011446	0.011754	0.011499	0.01128	0.011421	0.011758	0.0111	0.01149	0.011485	0.011489	0.011732	0.0064106	0.0094049	0.0093823	0.032147	0.093505	0.010992	0.011722	0.011972	0.0093262	0.010981	0.0092568	0.011552	0.011396	0.011197	0.011432	0.011679	0.011058	0.011564	0.011411	0.011087	0.011418	0.01141	0.011774	0.011583	0.010879	0.011492	0.011031	0.011565	0.011593	0.011725	0.011982	0.0095843	0.011515	0.012375	0.012045	0.011692	0.011305	0.011809	0.01259	0.015391	0.013684	0.010726	0.011313	0.013962	0.0091356	0.010533	0.011025	0.0061211	0.0045968	0.012165	0.0084859	0.0067884	0.010382	0.011293	0.011461	0.010887	0.0061211	0.011832	0.011219	0.011463	0.012074	0.011685	0.0113	0.011576	
CPA3	0.0039911	0.0019426	0.004572	0.0073328	0.0033276	0.0053744	0.0064096	0.0061691	0.0070295	0.0059917	0.0055036	0.0056972	0.0069851	0.004936	0.0060409	0.0059129	0.0059634	0.0066153	0.0023014	0.0036355	0.0045968	0.093505	0.43479	0.0048296	0.0070325	0.0061189	0.0036453	0.0052065	0.0040276	0.0061877	0.0057758	0.0055036	0.0057528	0.0066309	0.0050086	0.0065446	0.0058514	0.005716	0.0063494	0.005621	0.0065383	0.0064528	0.0047838	0.0062258	0.0048893	0.0062473	0.0062468	0.006571	0.0073819	0.0039109	0.0060129	0.0079643	0.0083265	0.0067032	0.0061211	0.0064417	0.010363	0.018338	0.013779	0.0056351	0.0055395	0.014079	0.0036953	0.0049579	0.0048463	0.0021794	0.0015374	0.0071146	0.0032577	0.0023625	0.0047111	0.0057971	0.0055138	0.0049585	0.0021794	0.0070424	0.0058844	0.0059321	0.0075316	0.0059511	0.0052941	0.0062779	
CRLF2	0.010773	0.0060767	0.010032	0.0059659	0.010566	0.013161	0.012899	0.01486	0.013165	0.015618	0.01293	0.013075	0.013098	0.013751	0.013261	0.013557	0.01355	0.013213	0.0073244	0.0099159	0.0097882	0.010992	0.0048296	0.036797	0.012843	0.013211	0.0081881	0.012188	0.0085067	0.01321	0.012755	0.012706	0.012948	0.013051	0.012226	0.012809	0.012784	0.01235	0.012763	0.012514	0.012979	0.01302	0.012369	0.01275	0.012508	0.013074	0.013224	0.013026	0.013102	0.012832	0.013336	0.013059	0.012932	0.012797	0.012749	0.013162	0.012997	0.01283	0.01255	0.0080242	0.012641	0.012201	0.012854	0.010689	0.012665	0.0070395	0.0041245	0.013029	0.0088913	0.0081372	0.011361	0.012387	0.0128	0.0118	0.0070395	0.014195	0.012846	0.012922	0.012868	0.013048	0.013469	0.015425	
