	ADAM33	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	RETNLB	RNASE2	RNASE3	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
ADAM33	0.17182	0.0083444	0.0041825	0.0015451	0.010879	0.013197	0.012021	0.011884	0.011959	0.01228	0.01228	0.013137	0.011524	0.013634	0.011812	0.014538	0.011418	0.0060183	0.0069185	0.0088944	0.0032503	0.0098649	0.011807	0.010185	0.0069531	0.010407	0.0095703	0.0116	0.012119	0.038381	0.010809	0.011954	0.010141	0.011873	0.011332	0.012254	0.012098	0.014068	0.01342	0.011436	0.0089787	0.011341	0.010276	0.011277	0.01099	0.01228	0.01173	0.010903	0.012142	0.012409	0.021642	0.012209	0.013154	0.011953	0.010557	0.010858	0.0061406	0.01107	0.010474	0.00042178	0.014137	0.0089622	0.0058497	0.0024428	0.010819	0.0051971	0.0095333	0.011608	0.010275	0.01002	0.011766	0.012992	0.011385	0.011298	0.010257	0.0097157	0.011132	
ALOX5	0.0083444	0.048186	0.0055855	0.0014138	0.011697	0.014578	0.012198	0.012375	0.012101	0.01171	0.01171	0.012605	0.010802	0.012147	0.012049	0.012	0.012087	0.0087816	0.0075932	0.011243	0.0049107	0.010897	0.013562	0.011993	0.067799	0.012038	0.0067433	0.011865	0.011765	0.011691	0.011451	0.012166	0.010768	0.012016	0.011712	0.011902	0.012064	0.011162	0.011565	0.012187	0.011054	0.014612	0.012715	0.012105	0.012157	0.012064	0.012584	0.01258	0.012667	0.01199	0.011726	0.012946	0.012177	0.0123	0.012786	0.017099	0.068549	0.011391	0.011472	0.00039296	0.0081286	0.009988	0.0085394	0.00299	0.011878	0.0047036	0.011913	0.012596	0.011389	0.010793	0.012224	0.011813	0.011936	0.012559	0.010965	0.010738	0.012012	
AREG	0.0041825	0.0055855	0.40381	0.00059833	0.0073809	0.0081184	0.0082654	0.01084	0.0079672	0.0072811	0.0072811	0.010217	0.0062136	0.0078979	0.0080412	0.0076317	0.01029	0.0032129	0.0048084	0.014504	0.0074534	0.0063355	0.009377	0.0068573	0.003975	0.0062831	0.003609	0.0083315	0.0078031	0.0070261	0.0079158	0.0094203	0.0073891	0.010016	0.0080076	0.0083811	0.0094532	0.0073146	0.0076305	0.0098693	0.006168	0.008445	0.0070878	0.0080797	0.0073257	0.0082184	0.008554	0.007758	0.0078976	0.0082741	0.00763	0.0079102	0.007527	0.0083846	0.008577	0.0086674	0.0041066	0.0073247	0.04611	0.00013659	0.0045013	0.0069949	0.0030671	0.0016004	0.014268	0.0024563	0.0057844	0.0076601	0.0087877	0.0057388	0.0081883	0.0078786	0.0081108	0.01208	0.0072973	0.0070243	0.0078061	
ARG1	0.0015451	0.0014138	0.00059833	0.33146	0.0032452	0.0024753	0.0026619	0.002325	0.0021855	0.0031022	0.0031022	0.0023274	0.0016826	0.0026668	0.0023103	0.0023189	0.0026938	0.00072233	0.0012031	0.0014558	0.00039601	0.0016129	0.0024229	0.0015523	0.00094293	0.0016763	0.00095619	0.0027303	0.0029071	0.0028946	0.0028521	0.0026673	0.0020859	0.0026911	0.0029824	0.0029004	0.0026831	0.0034473	0.0032305	0.0025847	0.0014956	0.0026838	0.0019806	0.002458	0.0020101	0.0026961	0.0022101	0.002075	0.0020362	0.0025099	0.0027243	0.0024719	0.0021469	0.0025618	0.0017253	0.0019208	0.00081634	0.0032915	0.0019946	0.30725	0.0013159	0.0018122	0.00082575	0.00033034	0.001911	0.19685	0.0014772	0.0020057	0.0020693	0.0017288	0.0022115	0.0094744	0.0029288	0.0022042	0.0020873	0.001887	0.0021183	
BCL6	0.010879	0.011697	0.0073809	0.0032452	0.017847	0.013809	0.014245	0.014229	0.014246	0.014231	0.014231	0.014136	0.013981	0.014082	0.01424	0.01415	0.014592	0.0086937	0.0095773	0.0122	0.0056561	0.014266	0.01403	0.014358	0.0095481	0.012696	0.0091769	0.014491	0.014388	0.013641	0.014647	0.014309	0.014343	0.014307	0.014563	0.014384	0.014101	0.01424	0.014307	0.014335	0.013575	0.014216	0.014337	0.014711	0.014195	0.014354	0.01424	0.014287	0.014266	0.014052	0.013889	0.014093	0.014303	0.013977	0.01391	0.013672	0.0095279	0.014926	0.013553	0.0011514	0.01076	0.013876	0.00975	0.0040725	0.014385	0.0081062	0.012098	0.013964	0.015018	0.013605	0.014487	0.014253	0.014819	0.014213	0.014778	0.014746	0.014349	
CCL11	0.013197	0.014578	0.0081184	0.0024753	0.013809	0.014092	0.013938	0.013875	0.013994	0.014036	0.014036	0.013881	0.014374	0.014025	0.014014	0.014101	0.013761	0.015946	0.010029	0.012174	0.006378	0.014071	0.013906	0.013737	0.015785	0.014849	0.010059	0.013806	0.013697	0.01394	0.013654	0.013764	0.013499	0.013709	0.013753	0.013762	0.013695	0.013728	0.013755	0.013798	0.013694	0.01385	0.013802	0.013812	0.013864	0.013802	0.013846	0.013873	0.013787	0.013647	0.013627	0.013803	0.013915	0.013593	0.01358	0.01373	0.014558	0.013726	0.013212	0.00083531	0.011363	0.012891	0.0092015	0.0050414	0.013946	0.0067326	0.015224	0.014195	0.013937	0.01313	0.013837	0.013577	0.013781	0.013785	0.01362	0.013527	0.013854	
CCL17	0.012021	0.012198	0.0082654	0.0026619	0.014245	0.013938	0.014464	0.014171	0.01461	0.014447	0.014447	0.014127	0.015154	0.014254	0.014426	0.014493	0.014118	0.010558	0.010126	0.012329	0.0062931	0.016832	0.013956	0.014014	0.010819	0.013368	0.01014	0.014182	0.014023	0.013952	0.014099	0.014075	0.013939	0.014024	0.01411	0.014075	0.013983	0.014081	0.014081	0.014084	0.013523	0.013979	0.014082	0.014148	0.014091	0.014094	0.014092	0.014173	0.014031	0.013939	0.013803	0.013935	0.014181	0.013841	0.013807	0.013636	0.010532	0.014145	0.013478	0.00091311	0.011416	0.013439	0.0093397	0.0049098	0.014173	0.0070842	0.012961	0.014068	0.014254	0.013451	0.014271	0.013881	0.014131	0.014045	0.014215	0.014305	0.01445	
CCL2	0.011884	0.012375	0.01084	0.002325	0.014229	0.013875	0.014171	0.014135	0.01424	0.014298	0.014298	0.014071	0.014709	0.014121	0.014271	0.014289	0.014105	0.010409	0.010176	0.012637	0.0070143	0.01452	0.013938	0.014079	0.011029	0.013275	0.010208	0.014165	0.014057	0.01383	0.014134	0.014085	0.01434	0.014067	0.014184	0.014122	0.013956	0.014082	0.014085	0.014101	0.013641	0.013995	0.014209	0.014144	0.014042	0.014078	0.014064	0.014145	0.014039	0.013913	0.013789	0.013895	0.014132	0.013828	0.013883	0.013687	0.010847	0.014195	0.013782	0.00073208	0.011485	0.013803	0.0092816	0.0049783	0.014373	0.0066686	0.01287	0.014028	0.014493	0.013519	0.014136	0.013841	0.01416	0.014084	0.014197	0.014156	0.014157	
CCL22	0.011959	0.012101	0.0079672	0.0021855	0.014246	0.013994	0.01461	0.01424	0.014793	0.014561	0.014561	0.014193	0.015513	0.014351	0.014553	0.014643	0.014151	0.010392	0.0098058	0.012272	0.0061151	0.017644	0.013987	0.013921	0.0107	0.013374	0.010093	0.014234	0.014045	0.014027	0.014111	0.014114	0.01393	0.014053	0.014139	0.014107	0.014017	0.014034	0.014085	0.014126	0.013526	0.014004	0.014073	0.014187	0.014139	0.014124	0.014129	0.014214	0.014038	0.013978	0.013818	0.013981	0.014223	0.013862	0.013799	0.013642	0.01035	0.014152	0.013484	0.00066316	0.011353	0.013381	0.0093962	0.0044231	0.014239	0.0064923	0.012926	0.014108	0.014312	0.013458	0.014354	0.013898	0.014162	0.014081	0.014207	0.014299	0.014577	
CCL24	0.01228	0.01171	0.0072811	0.0031022	0.014231	0.014036	0.014447	0.014298	0.014561	0.016072	0.01516	0.014268	0.016547	0.014648	0.014936	0.015156	0.014107	0.009944	0.010253	0.012062	0.005724	0.01434	0.013948	0.013481	0.0099701	0.01336	0.010344	0.014259	0.01413	0.014396	0.014019	0.014122	0.013744	0.014044	0.014159	0.014147	0.014139	0.014327	0.014221	0.014121	0.013372	0.014011	0.014054	0.014149	0.014076	0.014128	0.014094	0.01416	0.013925	0.014037	0.013896	0.014048	0.014262	0.013873	0.013606	0.013523	0.0096122	0.014202	0.0134	0.0010974	0.011548	0.012927	0.009754	0.0049593	0.014097	0.0078267	0.012766	0.014131	0.014139	0.013707	0.014171	0.014091	0.014173	0.014092	0.013977	0.013825	0.014195	
