	ALOX5	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CMA1	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MS4A2	PDCD1	PPARG	RETNLB	RNASE2	RNASE3	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
ALOX5	0.39619	0.0079348	0.0096393	0.0086843	0.011239	0.0087129	0.0054751	0.0071953	0.010934	0.0054751	0.0089014	0.0075802	0.0075785	0.0099341	0.0085485	0.003388	0.038553	0.028314	0	0	0.0038936	0.0093401	0.00906	0.0066641	0.0078	0.01101	0.006263	0.011486	0.0084364	0.0090927	0.011254	0.0085013	0.0085013	0.0088451	0.005056	0.0087477	0.0062406	0.0098932	0.00883	0.013242	0.01513	0.0077698	0.018788	0.011111	0.01044	0.012286	0.019731	0.014787	0.019933	0.017931	0	0.0057862	0.0076396	0.0012567	0.0027313	0.0058179	0.0033237	0	0	0.0062834	0.0034331	0.014373	0.0089217	0.0091098	0.0086007	0.006901	0.0024276	0.0090503	
BCL6	0.0079348	0.18142	0.011885	0.011408	0.012183	0.012212	0.006202	0.0098721	0.011027	0.006202	0.010724	0.0088145	0.0089326	0.013731	0.011453	0.0086347	0.016332	0.0079348	0	0	0.0055277	0.020136	0.014702	0.0068926	0.018013	0.016724	0.010766	0.015612	0.015038	0.014341	0.014126	0.01317	0.01317	0.016103	0.0089427	0.014652	0.0078947	0.03687	0.011186	0.017781	0.014272	0.0097806	0.013199	0.015002	0.017563	0.015111	0.013612	0.016266	0.024951	0.022404	0	0.011995	0.010553	0.0018164	0.0093184	0.010036	0.00597	0	0	0.014945	0.0063149	0.04158	0.014122	0.019277	0.0131	0.0098531	0.0035719	0.016838	
CCL11	0.0096393	0.011885	0.020247	0.021011	0.019682	0.020982	0.026512	0.02111	0.02095	0.026512	0.02143	0.024009	0.023295	0.017627	0.0060181	0.011398	0.015959	0.0096393	0	0	0.0085173	0.016379	0.015843	0.024856	0.014659	0.017072	0.014191	0.016724	0.016621	0.016765	0.017005	0.016905	0.016905	0.016317	0.012804	0.016464	0.013646	0.015826	0.01569	0.016075	0.017391	0.015318	0.016688	0.016494	0.016682	0.016875	0.017235	0.017196	0.014351	0.012919	0	0.01272	0.017999	0.0039441	0.0070057	0.014675	0.012245	0	0	0.014635	0.0090776	0.015247	0.017141	0.016101	0.016927	0.011339	0.0051852	0.017443	
CCL17	0.0086843	0.011408	0.021011	0.022389	0.02039	0.022329	0.029368	0.022215	0.022072	0.029368	0.022629	0.026149	0.02517	0.01748	0.0058624	0.018221	0.01551	0.0086843	0	0	0.0084438	0.016159	0.015422	0.027204	0.014261	0.01692	0.013743	0.016401	0.016288	0.016529	0.016583	0.016332	0.016332	0.015858	0.010533	0.015909	0.010868	0.015306	0.013643	0.015593	0.01683	0.012995	0.015732	0.016368	0.016258	0.016275	0.015507	0.01632	0.014092	0.012684	0	0.012352	0.018299	0.0039159	0.0065448	0.014586	0.01221	0	0	0.014209	0.0082558	0.015174	0.017021	0.015748	0.016521	0.010869	0.0048628	0.019104	
CCL2	0.011239	0.012183	0.019682	0.02039	0.019568	0.02044	0.024746	0.020167	0.020677	0.024746	0.020685	0.022915	0.022269	0.017929	0.0066694	0.010609	0.016069	0.011239	0	0	0.0083235	0.016739	0.015972	0.023683	0.01517	0.017337	0.016759	0.01702	0.017127	0.01732	0.016904	0.016614	0.016614	0.016869	0.012322	0.016791	0.011669	0.016004	0.014584	0.01613	0.017114	0.013844	0.016356	0.016531	0.016633	0.016502	0.016282	0.016667	0.014764	0.013334	0	0.013138	0.02017	0.0037683	0.0079505	0.017684	0.01052	0	0	0.016319	0.009203	0.015493	0.017031	0.016558	0.018403	0.011361	0.0051965	0.017002	
CCL22	0.0087129	0.012212	0.020982	0.022329	0.02044	0.022394	0.029239	0.021746	0.022141	0.029239	0.022575	0.026117	0.025067	0.017911	0.0055327	0.018014	0.015541	0.0087129	0	0	0.0074044	0.016461	0.015586	0.027157	0.014743	0.017111	0.014633	0.016589	0.016417	0.016735	0.016587	0.015845	0.015845	0.016081	0.010673	0.016079	0.010735	0.015611	0.01361	0.015684	0.016885	0.012887	0.015596	0.016308	0.016173	0.016297	0.015504	0.016346	0.014006	0.012575	0	0.012322	0.018548	0.0029332	0.0077054	0.014869	0.0099654	0	0	0.014937	0.0085843	0.015361	0.01688	0.016012	0.016839	0.01054	0.0043479	0.019088	
CCL24	0.0054751	0.006202	0.026512	0.029368	0.024746	0.029239	0.099438	0.028774	0.028788	0.049651	0.034272	0.047708	0.04245	0.015278	0.0027587	0.0072963	0.01311	0.0054751	0	0	0.0052324	0.012919	0.0119	0.039327	0.010288	0.015061	0.0092275	0.013336	0.012173	0.013489	0.013817	0.011449	0.011449	0.012203	0.0059945	0.011436	0.0069167	0.011455	0.009441	0.012124	0.015004	0.0087311	0.012029	0.014393	0.012321	0.014025	0.011743	0.01373	0.0093664	0.008422	0	0.007653	0.016534	0.0017077	0.003484	0.0097857	0.0063337	0	0	0.0089176	0.0044121	0.010815	0.014806	0.011772	0.012288	0.0070684	0.0022715	0.016609	
CCL26	0.0071953	0.0098721	0.02111	0.022215	0.020167	0.021746	0.028774	0.044372	0.021687	0.028774	0.024731	0.024151	0.028265	0.016154	0.0054581	0.0081617	0.014926	0.0071953	0	0	0.0097464	0.015822	0.015554	0.028575	0.013642	0.016682	0.012739	0.0161	0.016826	0.016578	0.01638	0.017619	0.017619	0.015553	0.009539	0.015814	0.0096431	0.014852	0.012588	0.015425	0.016569	0.011835	0.015469	0.017247	0.01659	0.015985	0.014418	0.015767	0.013523	0.012176	0	0.012889	0.016365	0.0047025	0.0057147	0.013539	0.016104	0	0	0.013465	0.0082222	0.014184	0.0189	0.015669	0.015161	0.01147	0.005308	0.016475	
CCL5	0.010934	0.011027	0.02095	0.022072	0.020677	0.022141	0.028788	0.021687	0.023175	0.028788	0.023058	0.025715	0.025738	0.019324	0.0058127	0.010147	0.015859	0.010934	0	0	0.0071184	0.01626	0.015265	0.032981	0.014982	0.017155	0.014333	0.016686	0.016158	0.01658	0.016384	0.015286	0.015286	0.016204	0.010587	0.015678	0.010261	0.015372	0.013314	0.015562	0.017151	0.012449	0.015847	0.016185	0.015823	0.016128	0.01584	0.016291	0.013839	0.012476	0	0.012323	0.020792	0.0027569	0.0080776	0.017141	0.0092153	0	0	0.015176	0.0077264	0.014752	0.016607	0.015817	0.017892	0.010212	0.00411	0.017092	
CCL8	0.0054751	0.006202	0.026512	0.029368	0.024746	0.029239	0.049651	0.028774	0.028788	0.099438	0.034272	0.047708	0.04245	0.015278	0.0027587	0.0072963	0.01311	0.0054751	0	0	0.0052324	0.012919	0.0119	0.039327	0.010288	0.015061	0.0092275	0.013336	0.012173	0.013489	0.013817	0.011449	0.011449	0.012203	0.0059945	0.011436	0.0069167	0.011455	0.009441	0.012124	0.015004	0.0087311	0.012029	0.014393	0.012321	0.014025	0.011743	0.01373	0.0093664	0.008422	0	0.007653	0.016534	0.0017077	0.003484	0.0097857	0.0063337	0	0	0.0089176	0.0044121	0.010815	0.014806	0.011772	0.012288	0.0070684	0.0022715	0.016609	
