	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CMA1	CRLF2	CSF2	CSF3R	FCER1A	FOXP3	GATA3	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	MAF	MMP9	MS4A2	PDCD1	PPARG	RETNLB	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
BCL6	0.4221	0.0090888	0.0065716	0.0080806	0.0051378	0.0021962	0.0072204	0.0071742	0.0021962	0.0067697	0.0054901	0.0054901	0.011829	0.0019193	0.002026	0.0099499	0.0036677	0	0.019858	0.011502	0.025814	0.011035	0.0060745	0.012957	0.010822	0.010235	0.010521	0.0087629	0.0087629	0.018025	0.0075883	0.010902	0.0009793	0.07484	0.004764	0.017849	0.011085	0.0035187	0.0073759	0.012912	0.01061	0.010298	0.0073759	0.019698	0.0060054	0.0060562	0.0058229	0.0076389	0	0.012528	0.0025156	0.0037815	0.015542	0.0043394	0.010547	0.010286	0.017987	0.010289	0.0069959	0.0023983	0.0061973	
CCL11	0.0090888	0.027694	0.029354	0.023636	0.031349	0.01956	0.023069	0.024486	0.01956	0.02399	0.032336	0.032336	0.018332	0.005394	0.006683	0.018516	0.010613	0	0.017403	0.017804	0.014291	0.019499	0.015096	0.018567	0.018353	0.019133	0.020507	0.021036	0.021036	0.016755	0.0088446	0.019481	0.0033659	0.016635	0.0095331	0.017371	0.019024	0.0084799	0.017256	0.019763	0.019605	0.017696	0.017256	0.021446	0.013249	0.012298	0.014402	0.017904	0	0.0058262	0.0081302	0.015806	0.014619	0.010102	0.0164	0.020596	0.017687	0.018237	0.0071677	0.0025377	0.013805	
CCL17	0.0065716	0.029354	0.041622	0.025866	0.038054	0.023347	0.025075	0.027549	0.023347	0.027543	0.040461	0.040461	0.018151	0.0049263	0.0060075	0.017223	0.0083436	0	0.016096	0.016684	0.012842	0.019156	0.014386	0.017676	0.017613	0.018887	0.019495	0.019702	0.019702	0.015539	0.0074288	0.017812	0.0025388	0.014662	0.0078938	0.015875	0.016818	0.006987	0.014077	0.019679	0.018445	0.016436	0.014077	0.019081	0.011468	0.011253	0.014248	0.018227	0	0.0048219	0.0079812	0.016782	0.013042	0.0086472	0.014929	0.02101	0.016567	0.016804	0.005969	0.0019929	0.012771	
CCL2	0.0080806	0.023636	0.025866	0.023675	0.028258	0.017142	0.019957	0.025147	0.017142	0.02199	0.029009	0.029009	0.021036	0.0056655	0.0058983	0.018616	0.014021	0	0.017747	0.017311	0.015954	0.01986	0.019395	0.019102	0.01951	0.020095	0.019607	0.018885	0.018885	0.018229	0.010261	0.019008	0.0031505	0.016414	0.0095865	0.017181	0.018317	0.0081144	0.017238	0.018742	0.018724	0.017157	0.017238	0.019151	0.014598	0.012737	0.012625	0.02484	0	0.0076618	0.023081	0.011087	0.01617	0.0095816	0.016939	0.019122	0.018128	0.021427	0.0075012	0.002862	0.012632	
CCL22	0.0051378	0.031349	0.038054	0.028258	0.063534	0.026195	0.022317	0.031506	0.026195	0.030849	0.048899	0.048899	0.019967	0.0033256	0.0036562	0.016968	0.0080758	0	0.01498	0.014835	0.012454	0.020448	0.016746	0.017177	0.016965	0.018707	0.01846	0.015881	0.015881	0.014999	0.006823	0.016905	0.0021299	0.013372	0.0070585	0.014956	0.015963	0.0061984	0.013135	0.018226	0.016476	0.015612	0.013135	0.018073	0.010422	0.0094877	0.0088535	0.019725	0	0.0045258	0.008727	0.0089461	0.011794	0.0060446	0.014006	0.018801	0.015565	0.017089	0.0054131	0.0017761	0.010044	
CCL24	0.0021962	0.01956	0.023347	0.017142	0.026195	0.41007	0.02675	0.018789	0.042187	0.058891	0.019175	0.019175	0.0093124	0.0015085	0.0023024	0.0093777	0.0035372	0	0.0075427	0.0081464	0.0054375	0.012193	0.0067601	0.0090499	0.0084639	0.0096751	0.010273	0.0084659	0.0084659	0.007787	0.0032966	0.0086186	0.0013932	0.0067697	0.0044752	0.0081537	0.0089583	0.0041632	0.0072054	0.012376	0.008774	0.011248	0.0072054	0.010148	0.0046313	0.0047964	0.0054604	0.0094866	0	0.0015804	0.0033865	0.0043834	0.0051028	0.0028402	0.0068002	0.011314	0.0079613	0.0080649	0.0023967	0.00065275	0.0065833	
CCL26	0.0072204	0.023069	0.025075	0.019957	0.022317	0.02675	0.079488	0.019139	0.02675	0.02908	0.021336	0.021336	0.015044	0.0056926	0.0070815	0.016447	0.0076946	0	0.017211	0.018322	0.012695	0.018441	0.014309	0.01769	0.018827	0.019191	0.01965	0.022626	0.022626	0.015751	0.0078639	0.018942	0.0028186	0.015527	0.0085695	0.016623	0.017187	0.0076188	0.014316	0.021961	0.020154	0.017259	0.014316	0.018593	0.011773	0.01254	0.017134	0.013723	0	0.0048252	0.0052645	0.021185	0.014096	0.0099047	0.015596	0.024669	0.017661	0.015792	0.006423	0.0021729	0.014674	
CCL5	0.0071742	0.024486	0.027549	0.025147	0.031506	0.018789	0.019139	0.028569	0.018789	0.023232	0.032384	0.032384	0.027163	0.0046405	0.0043628	0.018543	0.0142	0	0.017098	0.016334	0.018481	0.01999	0.01704	0.019379	0.017892	0.01923	0.019045	0.016908	0.016908	0.01807	0.0095551	0.01785	0.0026851	0.016064	0.008726	0.016612	0.017658	0.0073429	0.016469	0.018043	0.017663	0.016612	0.016469	0.018577	0.013892	0.011645	0.0096382	0.027519	0	0.0099925	0.02652	0.0092435	0.015019	0.0074864	0.016184	0.018396	0.017568	0.021882	0.0067902	0.002453	0.011011	
CCL8	0.0021962	0.01956	0.023347	0.017142	0.026195	0.042187	0.02675	0.018789	0.41007	0.058891	0.019175	0.019175	0.0093124	0.0015085	0.0023024	0.0093777	0.0035372	0	0.0075427	0.0081464	0.0054375	0.012193	0.0067601	0.0090499	0.0084639	0.0096751	0.010273	0.0084659	0.0084659	0.007787	0.0032966	0.0086186	0.0013932	0.0067697	0.0044752	0.0081537	0.0089583	0.0041632	0.0072054	0.012376	0.008774	0.011248	0.0072054	0.010148	0.0046313	0.0047964	0.0054604	0.0094866	0	0.0015804	0.0033865	0.0043834	0.0051028	0.0028402	0.0068002	0.011314	0.0079613	0.0080649	0.0023967	0.00065275	0.0065833	
CCR3	0.0067697	0.02399	0.027543	0.02199	0.030849	0.058891	0.02908	0.023232	0.058891	0.030947	0.028333	0.028333	0.017532	0.0047964	0.0065833	0.016424	0.0093777	0	0.015394	0.01558	0.012924	0.01814	0.015108	0.016656	0.016814	0.017534	0.017801	0.017339	0.017339	0.015222	0.0089656	0.016948	0.0041632	0.014214	0.0097575	0.015303	0.016514	0.0087901	0.015173	0.018108	0.0169	0.016331	0.015173	0.017676	0.011712	0.010927	0.012376	0.017223	0	0.0054375	0.0094866	0.011314	0.013085	0.0081464	0.014476	0.018508	0.01578	0.016531	0.0064098	0.0023967	0.01276	
