ALOX5	CCL11	0.014578
BCL6	CCL5	0.014136
BCL6	ICOS	0.014647
BCL6	IFNG	0.014309
BCL6	IL10	0.014307
BCL6	IL13	0.014101
BCL6	IL2RA	0.014354
BCL6	IL4	0.014052
BCL6	MAF	0.014926
BCL6	TGFB1	0.014213
CCL11	CRLF2	0.014071
CCL11	LTB4R	0.014558
CCL17	CCL24	0.014447
CCL17	CCL8	0.015154
CCL17	TGFB1	0.014045
CCL2	CCL24	0.014298
CCL2	CCL8	0.014709
CCL2	CRLF2	0.01452
CCL2	FOXP3	0.014165
CCL2	IFNGR2	0.01434
CCL2	IL12A	0.014184
CCL2	IL13RA2	0.014085
CCL2	IL21	0.014144
CCL2	IL2RA	0.014078
CCL2	IL33	0.014145
CCL2	IL5RA	0.014132
CCL2	STAT5A	0.014136
CCL2	TSLP	0.014157
CCL22	CCL24	0.014561
CCL22	CCL26	0.014561
CCL22	CCL8	0.015513
CCL22	CSF2	0.013987
CCL22	IL13	0.014017
CCL22	IL2RA	0.014124
CCL22	STAT5A	0.014354
CCL22	TGFB1	0.014081
CCL24	CCL26	0.01516
CCL24	CCL5	0.014268
CCL24	IL13RA2	0.014221
CCL24	IL9	0.013873
CCL26	IL9	0.013873
CCL5	FOXP3	0.014081
CCL5	IL12A	0.014063
CCL5	IL12B	0.014029
CCL5	IL1RL1	0.014106
CCL5	IL21	0.01406
CCL5	IL2RA	0.014032
CCL5	IL33	0.014079
CCL5	IL3RA	0.014028
CCL5	IL5RA	0.014117
CCL5	TBX21	0.014061
CCL5	TGFB1	0.014019
CCL5	TNFRSF4	0.014095
CCL5	TNFSF4	0.01405
CCL8	IL5	0.014051
CCR4	CSF2	0.013965
CCR4	IL13	0.014041
CCR8	CSF2	0.013962
CCR8	IL13	0.01403
CCR8	STAT6	0.013961
CD40LG	IL13RA2	0.014153
CD40LG	PDCD1	0.014639
CD40LG	TGFB1	0.014106
CD40LG	TSLP	0.014277
CLC	CSF2	0.013966
CLC	RNASE3	0.018802
CPA3	KITLG	0.015776
CRLF2	FOXP3	0.014318
CRLF2	IL13	0.014073
CRLF2	IL3	0.014342
CSF2	IL1RL1	0.014034
CSF2	PPARG	0.01399
CSF2	RORC	0.014037
CSF3R	IL2RA	0.014592
CSF3R	IL5RA	0.015088
CSF3R	KIT	0.01645
CSF3R	KITLG	0.014858
CSF3R	TGFB1	0.014324
FOXP3	IL13	0.014021
FOXP3	IL1RL1	0.014345
FOXP3	MAF	0.014546
FOXP3	PDCD1	0.01467
FOXP3	PPARG	0.014383
FOXP3	TNFSF4	0.014956
GATA3	IL13RA2	0.0142
GATA3	IL18	0.014158
GATA3	TGFB1	0.014055
GPR44	IL4R	0.015102
ICOS	IL13	0.014
ICOS	IL2RA	0.014331
ICOS	IL4	0.014055
ICOS	TGFB1	0.01416
IFNG	IL1RL1	0.014206
IFNG	PPARG	0.014229
IFNG	TNFRSF4	0.014404
IFNG	TNFSF4	0.014365
IFNGR2	IL13	0.014145
IFNGR2	IL17A	0.014516
IFNGR2	IL18	0.014185
IFNGR2	STAT6	0.014313
IFNGR2	TBX21	0.015121
IFNGR2	TGFB1	0.014402
IL10	IL1RL1	0.014254
IL10	MAF	0.014445
IL10	RORC	0.01449
IL10	TNFRSF4	0.014489
IL10	TNFSF4	0.014465
IL12A	IL13	0.014052
IL12A	IL18	0.014112
IL12A	IL2RA	0.014207
IL12A	MAF	0.014678
IL12A	PDCD1	0.014881
IL12A	RORC	0.014843
IL12A	TGFB1	0.014186
IL12B	IL2RA	0.014144
IL12B	PDCD1	0.014505
IL12B	RORC	0.014607
IL12B	TGFB1	0.014113
IL13	IL1RL1	0.014238
IL13	IL5RA	0.014016
IL13	MAF	0.014123
IL13	PPARG	0.014015
IL13	RORC	0.014203
IL13	TNFRSF4	0.014044
IL13	TNFSF4	0.014001
IL13RA1	IL13RA2	0.014868
IL13RA1	IL2RA	0.014251
IL13RA1	IL9	0.01396
IL13RA1	TGFB1	0.014095
IL13RA2	IL21	0.014218
IL13RA2	IL5RA	0.014334
IL13RA2	TBX21	0.014251
IL13RA2	TGFB1	0.0141
IL17A	IL25	0.014461
IL17A	MAF	0.01436
IL17A	TNFRSF4	0.014353
IL17A	TNFSF4	0.014354
IL17RB	IL33	0.015968
IL17RB	TSLP	0.014696
IL18	IL25	0.014103
IL18	LTB4R	0.014135
IL18	RORC	0.014318
IL18	TNFRSF4	0.01413
IL18	TNFSF4	0.014108
IL1RL1	IL4	0.014052
IL1RL1	IL9	0.013958
IL1RL1	MAF	0.014789
IL1RL1	TGFB1	0.014198
IL21	IL33	0.014302
IL21	PDCD1	0.014438
IL21	TGFB1	0.014134
IL21	TNFRSF4	0.014605
IL25	TGFB1	0.014017
IL2RA	MAF	0.014324
IL2RA	RORC	0.014382
IL2RA	TBX21	0.014205
IL2RA	TGFB1	0.014076
IL2RA	TNFSF4	0.014765
IL2RA	TSLP	0.014175
IL3	RORC	0.014225
IL3	TNFSF4	0.014168
IL33	IL9	0.01395
IL33	TGFB1	0.014125
IL3RA	IL5RA	0.01439
IL3RA	IL9	0.013916
IL4	RORC	0.014144
IL5	MAF	0.013994
IL5	RORC	0.014033
IL5RA	KIT	0.014239
IL5RA	RNASE3	0.014222
IL5RA	TGFB1	0.014115
IL9	KIT	0.013993
IL9	RORC	0.014046
IL9	TBX21	0.013901
KIT	TGFB1	0.014132
MAF	RORC	0.015086
MAF	SATB1	0.015129
MAF	TGFB1	0.014216
MRC1	RETNLB	0.11514
PDCD1	STAT6	0.013966
PDCD1	TGFB1	0.014068
PPARG	TBX21	0.014446
PPARG	TGFB1	0.014307
RNASE2	RNASE3	0.016595
RORC	STAT5A	0.014422
RORC	STAT6	0.014151
RORC	TGFB1	0.014443
STAT5A	TGFB1	0.014098
STAT6	TNFSF4	0.014083
TBX21	TGFB1	0.01415
TBX21	TNFRSF4	0.014647
TBX21	TNFSF4	0.014623
TGFB1	TSLP	0.014082
TNFRSF4	TSLP	0.014852
