ALOX5	LTB4R	0.054543
ARG1	STAT6	0.017918
CCL11	CCL24	0.018012
CCL11	CCL26	0.016848
CCL11	IL17RB	0.016135
CCL17	CCL24	0.019268
CCL17	CCL8	0.019014
CCL17	GPR44	0.018234
CCL2	CCL24	0.017983
CCL2	CCL8	0.01776
CCL2	GPR44	0.017443
CCL2	PPARG	0.016103
CCL22	CCL24	0.02025
CCL22	CCL26	0.018067
CCL22	CCL8	0.019987
CCL22	CD40LG	0.016013
CCL22	GPR44	0.018911
CCL24	CCL26	0.022682
CCL24	CCL5	0.019288
CCL24	GPR44	0.02341
CCL26	GPR44	0.019917
CCL8	GPR44	0.022625
CCL8	IL5	0.015712
CCR4	CD40LG	0.015926
CCR4	GPR44	0.020316
CCR4	IFNG	0.015915
CCR4	IL5	0.015941
CCR8	IFNG	0.015885
CCR8	IL5	0.016018
CD40LG	FOXP3	0.015993
CD40LG	GPR44	0.016066
CD40LG	IL33	0.015925
CD40LG	IL3RA	0.016005
CD40LG	IL5RA	0.016305
CD40LG	KIT	0.015906
CD40LG	MMP9	0.016184
CD40LG	PDCD1	0.017379
CD40LG	PPARG	0.015925
CD40LG	TGFB1	0.016045
CMA1	IL3	0.016597
CMA1	KIT	0.019408
CMA1	TGFB1	0.01621
CRLF2	IL3	0.016015
CSF3R	KIT	0.018178
FOXP3	IL1RL1	0.016132
FOXP3	MAF	0.016476
FOXP3	MMP9	0.016263
FOXP3	PDCD1	0.016327
FOXP3	PPARG	0.016657
GPR44	IFNG	0.015931
IFNG	IL1RL1	0.015954
IFNG	PPARG	0.016045
IFNG	RORC	0.016311
IFNGR2	IL10	0.016829
IFNGR2	IL17A	0.01642
IFNGR2	STAT6	0.01653
IFNGR2	TBX21	0.017763
IFNGR2	TGFB1	0.016018
IL10	MAF	0.016638
IL10	RORC	0.016308
IL12A	TGFB1	0.016099
IL13	IL17RB	0.015907
IL13	IL1RL1	0.016021
IL13	RORC	0.015695
IL13RA1	IL13RA2	0.019984
IL17A	IL25	0.016654
IL17RB	IL33	0.020665
IL18	IL25	0.016093
IL18	RORC	0.016038
IL1RL1	IL25	0.018183
IL1RL1	IL4	0.015671
IL2RA	IL5RA	0.016149
IL2RA	KIT	0.016189
IL2RA	TNFSF4	0.019996
IL3RA	IL5RA	0.017357
IL4	MMP9	0.015443
IL4	RORC	0.015645
IL5	MMP9	0.015659
IL5	RORC	0.015639
IL5RA	KIT	0.017806
IL5RA	TGFB1	0.016024
IL9	KIT	0.016307
KIT	TGFB1	0.016276
MAF	SATB1	0.020526
MAF	TBX21	0.01708
MMP9	RORC	0.017834
MMP9	TBX21	0.016178
PPARG	TBX21	0.016713
PPARG	TGFB1	0.016683
RNASE2	RNASE3	0.06736
RORC	TGFB1	0.016794
