ALOX5	CCL11	0.014578
BCL6	CCL22	0.014246
BCL6	CCL5	0.014136
BCL6	CCR4	0.01424
BCL6	CRLF2	0.014266
BCL6	GATA3	0.014388
BCL6	ICOS	0.014647
BCL6	IFNG	0.014309
BCL6	IL10	0.014307
BCL6	IL13	0.014101
BCL6	IL13RA1	0.01424
BCL6	IL2RA	0.014354
BCL6	IL3RA	0.014266
BCL6	IL4	0.014052
BCL6	IL4R	0.013889
BCL6	KIT	0.01391
BCL6	MAF	0.014926
BCL6	TGFB1	0.014213
CCL11	CCL24	0.014036
CCL11	CCL26	0.014036
CCL11	CD40LG	0.013761
CCL11	CRLF2	0.014071
CCL11	IL10	0.013709
CCL11	IL12A	0.013753
CCL11	IL12B	0.013762
CCL11	IL13RA1	0.013728
CCL11	IL13RA2	0.013755
CCL11	IL17RB	0.013694
CCL11	IL18	0.01385
CCL11	IL1RL1	0.013802
CCL11	IL33	0.013873
CCL11	IL3RA	0.013787
CCL11	IL5RA	0.013915
CCL11	KITLG	0.01373
CCL11	LTB4R	0.014558
CCL11	STAT5A	0.013837
CCL11	TGFB1	0.013785
CCL11	TSLP	0.013854
CCL17	CCL24	0.014447
CCL17	CCL8	0.015154
CCL17	FOXP3	0.014182
CCL17	GATA3	0.014023
CCL17	GPR44	0.013952
CCL17	IL10	0.014024
CCL17	IL12A	0.01411
CCL17	IL12B	0.014075
CCL17	IL17A	0.014084
CCL17	IL18	0.013979
CCL17	IL1RL1	0.014082
CCL17	IL25	0.014091
CCL17	IL3	0.014092
CCL17	IL33	0.014173
CCL17	IL4R	0.013803
CCL17	IL9	0.013841
CCL17	KITLG	0.013636
CCL17	RNASE3	0.014068
CCL17	STAT5A	0.014271
CCL17	TBX21	0.014131
CCL17	TGFB1	0.014045
CCL17	TNFRSF4	0.014215
CCL17	TNFSF4	0.014305
CCL2	CCL24	0.014298
CCL2	CCL8	0.014709
CCL2	CRLF2	0.01452
CCL2	FOXP3	0.014165
CCL2	GPR44	0.01383
CCL2	IFNGR2	0.01434
CCL2	IL12A	0.014184
CCL2	IL13RA2	0.014085
CCL2	IL21	0.014144
CCL2	IL25	0.014042
CCL2	IL2RA	0.014078
CCL2	IL33	0.014145
CCL2	IL3RA	0.014039
CCL2	IL4R	0.013789
CCL2	IL5RA	0.014132
CCL2	IL9	0.013828
CCL2	KITLG	0.013687
CCL2	RNASE3	0.014028
CCL2	STAT5A	0.014136
CCL2	STAT6	0.013841
CCL2	TSLP	0.014157
CCL22	CCL24	0.014561
CCL22	CCL26	0.014561
CCL22	CCL8	0.015513
CCL22	CD40LG	0.014151
CCL22	CSF2	0.013987
CCL22	GATA3	0.014045
CCL22	GPR44	0.014027
CCL22	ICOS	0.014111
CCL22	IL10	0.014053
CCL22	IL12A	0.014139
CCL22	IL12B	0.014107
CCL22	IL13	0.014017
CCL22	IL17A	0.014126
CCL22	IL18	0.014004
CCL22	IL2RA	0.014124
CCL22	IL3	0.014129
CCL22	IL33	0.014214
CCL22	IL3RA	0.014038
CCL22	IL9	0.013862
CCL22	KITLG	0.013642
CCL22	MMP9	0.013484
CCL22	RNASE3	0.014108
CCL22	STAT5A	0.014354
CCL22	STAT6	0.013898
CCL22	TBX21	0.014162
CCL22	TGFB1	0.014081
CCL24	CCL26	0.01516
CCL24	CCL5	0.014268
CCL24	CD40LG	0.014107
CCL24	CSF2	0.013948
CCL24	GPR44	0.014396
CCL24	IFNG	0.014122
CCL24	IL10	0.014044
CCL24	IL12A	0.014159
CCL24	IL12B	0.014147
CCL24	IL13RA2	0.014221
CCL24	IL17A	0.014121
CCL24	IL18	0.014011
CCL24	IL1RL1	0.014054
CCL24	IL3	0.014094
CCL24	IL33	0.01416
CCL24	IL4R	0.013896
CCL24	IL9	0.013873
CCL24	RNASE3	0.014131
CCL26	GPR44	0.014396
CCL26	IFNG	0.014122
CCL26	IL10	0.014044
CCL26	IL12B	0.014147
CCL26	IL18	0.014011
CCL26	IL21	0.014149
CCL26	IL3	0.014094
CCL26	IL4R	0.013896
CCL26	IL9	0.013873
CCL26	RNASE3	0.014131
CCL26	TBX21	0.014173
CCL26	TSLP	0.014195
CCL5	FOXP3	0.014081
CCL5	IL12A	0.014063
CCL5	IL12B	0.014029
CCL5	IL1RL1	0.014106
CCL5	IL21	0.01406
CCL5	IL25	0.013986
CCL5	IL2RA	0.014032
CCL5	IL33	0.014079
CCL5	IL3RA	0.014028
CCL5	IL4R	0.013819
CCL5	IL5RA	0.014117
CCL5	STAT6	0.013793
CCL5	TBX21	0.014061
CCL5	TGFB1	0.014019
CCL5	TNFRSF4	0.014095
CCL5	TNFSF4	0.01405
CCL8	GPR44	0.015129
CCL8	IFNG	0.014048
CCL8	IL10	0.013798
CCL8	IL4	0.013914
CCL8	IL5	0.014051
CCL8	IL9	0.01369
CCL8	STAT6	0.013921
CCL8	TGFB1	0.013916
CCR3	CD40LG	0.01398
CCR3	FOXP3	0.014076
CCR3	GATA3	0.013922
CCR3	IL10	0.013922
CCR3	IL12A	0.013989
CCR3	IL12B	0.013989
CCR3	IL17A	0.013977
CCR3	IL18	0.013884
CCR3	IL1RL1	0.013893
CCR3	IL21	0.014013
CCR3	IL33	0.014005
CCR3	IL3RA	0.013969
CCR3	IL4R	0.013845
CCR3	IL9	0.013761
CCR3	KITLG	0.013563
CCR3	RNASE2	0.014116
CCR3	RNASE3	0.01423
CCR3	TBX21	0.014005
CCR3	TNFRSF4	0.013874
CCR4	CD40LG	0.014123
CCR4	CSF2	0.013965
CCR4	GATA3	0.014078
CCR4	GPR44	0.014134
CCR4	ICOS	0.014088
CCR4	IL10	0.014063
CCR4	IL12B	0.014132
CCR4	IL13	0.014041
CCR4	IL1RL1	0.014099
CCR4	IL3	0.01411
CCR4	IL4R	0.013821
CCR4	IL9	0.013847
CCR4	RORC	0.014337
CCR4	STAT6	0.01395
CCR4	TBX21	0.014176
CCR4	TNFRSF4	0.014111
CCR4	TSLP	0.01426
CCR8	CSF2	0.013962
CCR8	IFNG	0.014076
CCR8	IL13	0.01403
CCR8	IL17A	0.014073
CCR8	IL2RA	0.014084
CCR8	IL4	0.013952
CCR8	IL4R	0.013927
CCR8	IL9	0.013813
CCR8	STAT5A	0.014296
CCR8	STAT6	0.013961
CCR8	TSLP	0.014226
CD40LG	IL12B	0.014161
CD40LG	IL13	0.013954
CD40LG	IL13RA2	0.014153
CD40LG	IL21	0.014254
CD40LG	IL25	0.014035
CD40LG	IL33	0.014162
CD40LG	IL4R	0.0138
CD40LG	IL5RA	0.014125
CD40LG	IL9	0.01385
CD40LG	KIT	0.013943
CD40LG	KITLG	0.013679
CD40LG	PDCD1	0.014639
CD40LG	PPARG	0.014222
CD40LG	STAT5A	0.014155
CD40LG	TGFB1	0.014106
CD40LG	TSLP	0.014277
CLC	CSF2	0.013966
CLC	RNASE3	0.018802
CMA1	IL3	0.013138
CMA1	IL3RA	0.013775
CMA1	STAT5A	0.013023
CMA1	TGFB1	0.013135
CPA3	KITLG	0.015776
CRLF2	FOXP3	0.014318
CRLF2	IFNG	0.014125
CRLF2	IL10	0.013909
CRLF2	IL13	0.014073
CRLF2	IL17A	0.014137
CRLF2	IL3	0.014342
CRLF2	IL3RA	0.01415
CRLF2	IL5	0.013976
CRLF2	STAT6	0.013772
CSF2	FOXP3	0.013931
CSF2	GATA3	0.013837
CSF2	ICOS	0.01387
CSF2	IL12A	0.013921
CSF2	IL13RA1	0.013849
CSF2	IL13RA2	0.013904
CSF2	IL1RL1	0.014034
CSF2	IL25	0.013882
CSF2	MAF	0.013918
CSF2	PPARG	0.01399
CSF2	RORC	0.014037
CSF2	TBX21	0.013929
CSF2	TNFSF4	0.013883
CSF3R	FOXP3	0.013971
CSF3R	IFNG	0.01397
CSF3R	IL10	0.014007
CSF3R	IL17A	0.013924
CSF3R	IL2RA	0.014592
CSF3R	IL4R	0.014001
CSF3R	IL5RA	0.015088
CSF3R	KIT	0.01645
CSF3R	KITLG	0.014858
