ALOX5	LTB4R	0.054543
ARG1	STAT6	0.017918
BCL6	CRLF2	0.017868
BCL6	ICOS	0.01546
BCL6	IFNG	0.015346
BCL6	IL2RA	0.015812
BCL6	IL3RA	0.015576
BCL6	IL4	0.014674
BCL6	KIT	0.01612
BCL6	TBX21	0.015978
CCL11	CCL24	0.018012
CCL11	CCL26	0.016848
CCL11	CD40LG	0.015562
CCL11	CSF2	0.015092
CCL11	IL10	0.015258
CCL11	IL12A	0.015328
CCL11	IL12B	0.015391
CCL11	IL13RA1	0.015218
CCL11	IL13RA2	0.015218
CCL11	IL17RB	0.016135
CCL11	IL18	0.015275
CCL11	IL1RL1	0.015491
CCL11	IL3	0.01526
CCL11	IL33	0.015653
CCL11	IL3RA	0.015126
CCL11	IL5RA	0.015161
CCL11	MMP9	0.015921
CCL11	STAT5A	0.015045
CCL11	TGFB1	0.015374
CCL11	TSLP	0.01526
CCL17	CCL24	0.019268
CCL17	CCL8	0.019014
CCL17	CD40LG	0.015866
CCL17	CSF2	0.01534
CCL17	FOXP3	0.015839
CCL17	GATA3	0.015433
CCL17	GPR44	0.018234
CCL17	IL10	0.015513
CCL17	IL12A	0.015622
CCL17	IL12B	0.015649
CCL17	IL17A	0.015663
CCL17	IL18	0.015473
CCL17	IL1RL1	0.015506
CCL17	IL25	0.015576
CCL17	IL3	0.015535
CCL17	IL33	0.015574
CCL17	IL4R	0.01511
CCL17	IL9	0.015259
CCL17	MMP9	0.016115
CCL17	STAT5A	0.015405
CCL17	TBX21	0.015592
CCL17	TGFB1	0.015606
CCL2	CCL24	0.017983
CCL2	CCL8	0.01776
CCL2	FOXP3	0.015922
CCL2	GPR44	0.017443
CCL2	IFNGR2	0.015861
CCL2	IL12A	0.015869
CCL2	IL13RA2	0.015356
CCL2	IL21	0.015623
CCL2	IL25	0.015676
CCL2	IL2RA	0.015307
CCL2	IL3	0.015588
CCL2	IL33	0.015809
CCL2	IL3RA	0.015507
CCL2	IL4R	0.015146
CCL2	IL5RA	0.015513
CCL2	IL9	0.015324
CCL2	PPARG	0.016103
CCL2	STAT5A	0.015391
CCL2	STAT6	0.015385
CCL2	TGFB1	0.015837
CCL2	TSLP	0.015543
CCL22	CCL24	0.02025
CCL22	CCL26	0.018067
CCL22	CCL8	0.019987
CCL22	CD40LG	0.016013
CCL22	CSF2	0.015422
CCL22	GPR44	0.018911
CCL22	IL10	0.015599
CCL22	IL12A	0.015678
CCL22	IL12B	0.015714
CCL22	IL13	0.015382
CCL22	IL17A	0.015753
CCL22	IL18	0.015525
CCL22	IL2RA	0.015235
CCL22	IL3	0.015621
CCL22	IL33	0.015531
CCL22	IL4	0.015257
CCL22	IL9	0.0153
CCL22	MMP9	0.016283
CCL22	STAT5A	0.015543
CCL22	STAT6	0.015393
CCL22	TBX21	0.015672
CCL22	TGFB1	0.01569
CCL24	CCL26	0.022682
CCL24	CCL5	0.019288
CCL24	GPR44	0.02341
CCL24	IFNG	0.015677
CCL24	IL4	0.014739
CCL26	GPR44	0.019917
CCL26	IFNG	0.015817
CCL26	IL10	0.015381
CCL26	IL12B	0.015529
CCL26	IL13	0.015255
CCL26	IL18	0.015329
CCL26	IL3	0.015363
CCL26	IL4R	0.014986
CCL26	IL9	0.015013
CCL26	TBX21	0.015392
CCL26	TSLP	0.015448
CCL5	FOXP3	0.015963
CCL5	IL12A	0.015707
CCL5	IL12B	0.015726
